POA_CODE_2016,Preschool_M,Preschool_F,Preschool_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infants_Prim_Other_Non_Govt_M,Infants_Prim_Other_Non_Govt_F,Infants_Prim_Other_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tech_Ftime_stud_15_24_yr_M,Tech_Ftime_stud_15_24_yr_F,Tech_Ftime_stud_15_24_yr_P,Tech_Ftime_stud_25_yr_over_M,Tech_Ftime_stud_25_yr_over_F,Tech_Ftime_stud_25_yr_over_P,Tech_Ptime_stud_15_24_yr_M,Tech_Ptime_stud_15_24_yr_F,Tech_Ptime_stud_15_24_yr_P,Tech_Ptime_stud_25_yr_over_M,Tech_Ptime_stud_25_yr_over_F,Tech_Ptime_stud_25_yr_over_P,Tech_Full_Ptime_stud_st_ns_M,Tech_Full_Ptime_stud_st_ns_F,Tech_Full_Ptime_stud_st_ns_P,Tech_Furth_Educ_Instit_Tot_M,Tech_Furth_Educ_Instit_Tot_F,Tech_Furth_Educ_Instit_Tot_P,Uni_oth_Inst_Ft_stu_15_24_M,Uni_oth_Inst_Ft_stu_15_24_F,Uni_oth_Inst_Ft_stu_15_24_P,Uni_oth_Instit_Ft_stu_25_M,Uni_oth_Instit_Ft_stu_25_F,Uni_oth_Instit_Ft_stu_25_P,Uni_oth_Instit_Pt_stu_15_24_M,Uni_oth_Instit_Pt_stu_15_24_F,Uni_oth_Instit_Pt_stu_15_24_P,Uni_oth_Instit_Pt_stu_25_M,Uni_oth_Instit_Pt_stu_25_F,Uni_oth_Instit_Pt_stu_25_P,Uni_oth_Inst_F_Pt_stu_st_ns_M,Uni_oth_Inst_F_Pt_stu_st_ns_F,Uni_oth_Inst_F_Pt_stu_st_ns_P,Uni_oth_Inst_Tot_M,Uni_oth_Inst_Tot_F,Uni_oth_Inst_Tot_P,Oth_type_Edu_inst_Ftime_stu_M,Oth_type_Edu_inst_Ftime_stu_F,Oth_type_Edu_inst_Ftime_stu_P,Oth_type_Edu_inst_Ptime_stu_M,Oth_type_Edu_inst_Ptime_stu_F,Oth_type_Edu_inst_Ptime_stu_P,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_M,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_F,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_P,Oth_type_educ_institut_Tot_M,Oth_type_educ_institut_Tot_F,Oth_type_educ_institut_Tot_P,Type_educ_institution_ns_M,Type_educ_institution_ns_F,Type_educ_institution_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
POA5068,65,68,129,315,303,613,97,87,183,83,88,172,490,477,964,161,166,322,76,138,216,180,163,347,415,460,880,22,18,36,32,36,69,18,20,31,31,36,71,0,0,3,98,109,208,267,336,607,114,132,239,27,24,52,70,100,165,0,0,0,477,587,1064,12,19,22,18,31,50,0,0,0,26,50,71,204,296,500,60,82,144,1846,2126,3970
POA5069,62,50,113,169,215,381,55,51,98,96,84,176,318,338,659,58,50,105,50,61,112,199,86,283,306,191,494,8,3,11,11,19,29,9,7,19,20,40,52,0,0,0,48,66,116,217,209,432,102,86,181,20,17,41,57,66,129,3,0,3,401,378,779,8,5,17,9,24,33,0,0,0,24,28,49,178,175,353,45,45,90,1380,1277,2655
POA5070,81,80,154,355,317,672,117,112,229,58,52,101,535,477,1010,159,133,291,100,95,189,78,78,158,333,301,631,30,20,52,30,52,76,19,19,36,43,57,103,0,0,0,122,146,265,317,343,663,134,151,282,18,23,44,68,122,195,3,0,5,545,640,1190,16,20,38,25,46,72,0,0,0,46,69,112,244,328,569,71,118,187,1978,2152,4127
POA5072,78,69,150,353,339,686,124,112,234,76,83,154,543,533,1078,216,160,376,154,99,253,98,94,196,465,357,819,24,26,45,16,37,55,13,16,29,44,54,103,0,0,0,95,134,230,248,279,524,95,134,235,25,24,53,79,94,170,3,3,7,446,540,983,10,21,32,23,38,61,0,0,0,36,53,89,205,232,442,74,84,157,1949,1997,3952
POA5073,98,103,205,430,354,787,193,204,400,59,40,92,679,599,1279,303,223,524,152,121,277,59,52,111,517,400,916,32,26,60,27,46,74,24,23,45,48,62,107,0,0,0,134,156,294,290,304,591,90,130,216,22,25,45,52,105,156,0,0,0,455,559,1013,16,15,32,11,37,53,0,0,0,27,52,84,258,276,538,79,107,186,2246,2250,4497
POA5074,94,67,166,369,316,690,173,146,318,27,31,58,569,494,1066,197,159,361,113,107,222,33,19,53,348,289,638,25,20,50,15,43,61,24,18,37,45,66,106,0,0,0,110,142,258,189,199,387,89,85,170,24,16,37,54,71,130,0,0,0,355,369,731,9,16,27,30,45,72,0,0,0,34,65,94,292,298,588,56,87,139,1867,1813,3680
POA5075,63,59,128,269,269,542,148,125,272,37,35,71,451,436,887,131,129,257,107,107,214,44,47,91,282,274,561,17,22,38,16,28,44,19,18,33,28,51,71,0,0,0,81,110,186,166,186,357,66,61,125,14,18,35,38,64,100,4,0,4,289,323,611,12,10,17,22,23,42,0,0,0,33,33,62,189,202,392,46,56,103,1436,1489,2928
POA5076,49,53,104,227,216,446,135,138,275,31,23,56,400,383,776,140,126,263,146,126,274,28,40,69,318,296,614,13,15,29,7,11,15,20,10,31,26,39,61,0,0,3,69,74,145,145,161,311,33,43,67,19,22,49,42,63,101,0,0,0,241,290,532,3,8,9,18,23,39,0,0,0,24,28,49,102,92,194,25,19,51,1220,1241,2459
POA5081,62,59,124,182,182,363,48,61,112,102,133,243,339,382,722,51,43,94,56,63,116,165,214,382,274,326,596,10,15,22,9,10,26,11,6,18,15,25,45,0,0,3,46,64,106,226,235,461,68,75,149,18,19,35,67,59,128,0,0,5,381,390,776,8,16,25,21,32,44,0,0,0,31,41,70,236,249,487,49,67,115,1419,1577,2993
POA5082,114,94,213,349,298,644,221,190,411,87,86,172,654,568,1219,115,105,225,181,153,340,93,65,157,392,332,721,36,26,61,32,42,79,24,23,46,49,72,124,0,0,0,142,162,303,351,359,710,139,110,246,42,39,81,97,122,213,0,0,3,626,628,1251,22,12,40,26,26,57,0,0,0,52,44,92,328,326,661,69,104,175,2383,2259,4640
POA5083,55,53,102,201,188,387,81,87,176,39,43,76,323,312,634,62,44,107,81,87,164,53,48,103,194,180,371,9,4,12,11,20,30,18,3,22,27,47,68,0,0,0,58,76,134,159,115,275,55,50,108,12,32,41,47,72,121,0,0,0,276,267,544,4,11,17,20,22,49,0,0,4,28,36,61,130,160,293,23,33,54,1080,1115,2201
POA5084,56,48,102,256,231,489,129,124,250,41,34,72,422,386,814,180,125,307,85,81,164,24,29,58,295,232,529,37,28,70,53,64,119,28,15,40,55,58,109,0,3,0,170,163,337,162,178,339,84,89,173,9,15,25,31,35,65,0,4,4,292,321,608,28,40,63,38,36,75,3,0,3,64,84,144,476,377,851,66,80,145,1837,1699,3531
POA5085,129,139,269,405,421,825,244,250,497,155,160,315,809,832,1640,250,188,440,111,174,283,109,113,220,469,476,944,46,52,95,59,94,150,22,25,51,91,132,226,0,3,4,218,302,513,303,242,540,124,142,262,36,25,57,89,135,226,0,4,4,548,542,1088,42,29,75,43,65,108,0,0,0,83,91,182,1198,722,1916,96,157,254,3553,3257,6810
POA5086,100,117,218,398,377,772,194,181,375,95,101,201,687,662,1347,205,194,395,106,131,238,97,97,192,415,417,827,42,40,81,47,78,124,28,16,48,59,89,153,4,0,4,182,222,404,270,253,527,106,125,230,23,22,46,90,113,199,3,3,4,492,522,1009,29,29,63,35,51,82,0,0,0,60,86,146,411,415,824,67,143,211,2406,2580,4990
POA5087,88,63,153,259,240,502,121,104,219,35,29,61,413,373,787,117,127,247,59,65,124,47,35,83,221,236,453,29,20,52,33,40,73,14,20,34,42,70,116,0,0,0,118,146,264,198,213,415,120,127,244,7,10,22,44,81,132,0,3,4,376,436,816,23,30,52,23,30,57,0,0,0,46,63,108,252,301,557,65,99,171,1584,1716,3307
POA5088,22,22,47,90,68,155,14,16,32,19,22,36,125,105,225,49,37,90,11,23,36,12,16,33,80,81,160,6,4,17,3,17,22,3,3,11,7,19,30,0,0,0,30,43,68,26,25,49,11,28,35,0,3,10,16,22,37,0,0,0,58,78,131,0,8,5,11,18,29,0,0,0,11,22,37,85,94,179,6,15,23,412,459,872
POA5089,38,23,60,201,162,359,70,75,144,60,60,122,333,291,627,100,86,188,78,66,142,55,69,122,234,222,456,4,5,14,4,12,12,11,16,23,23,28,44,0,0,0,42,60,99,75,92,163,17,27,45,9,17,31,20,50,67,0,0,0,121,187,306,4,4,13,11,18,31,0,0,0,18,28,40,95,88,184,10,18,30,885,914,1802
POA5090,43,44,84,198,190,388,40,49,86,45,38,80,289,272,558,104,101,209,33,38,77,43,44,88,183,185,370,12,16,28,16,16,27,15,9,28,23,44,69,0,0,0,64,85,153,59,90,145,20,36,57,5,9,12,16,44,58,0,0,0,102,175,277,8,8,20,10,15,28,0,0,3,19,24,45,118,175,293,8,24,35,828,986,1816
POA5091,45,35,82,194,185,374,54,73,131,46,50,96,293,307,607,137,123,260,40,48,91,51,62,113,231,232,459,11,6,23,3,10,11,20,7,31,31,34,72,0,0,0,75,67,140,67,80,147,19,25,48,11,18,26,26,50,75,0,0,0,119,174,291,6,9,10,9,24,34,0,0,0,16,30,46,152,152,301,9,11,19,936,1008,1947
POA5092,125,105,238,553,493,1043,100,88,189,99,125,222,751,701,1449,308,260,568,66,74,139,72,93,164,442,430,871,44,34,82,28,43,71,45,24,70,62,73,136,0,0,0,178,175,357,204,238,441,98,111,207,17,21,36,57,126,178,0,3,0,378,494,873,22,33,56,26,47,74,0,0,0,53,83,131,322,361,683,66,105,167,2316,2453,4773
POA5093,63,52,117,259,212,472,67,46,115,69,97,161,398,354,751,162,146,303,52,51,101,59,53,115,279,244,519,31,26,53,21,25,41,11,14,25,29,47,74,0,3,3,93,105,197,85,94,181,39,41,77,15,11,30,33,63,91,0,3,3,169,215,384,11,15,20,15,34,44,0,0,0,22,42,64,174,183,355,16,31,39,1208,1228,2435
POA5094,3,3,10,24,24,51,4,3,10,3,4,4,32,32,66,31,22,59,8,11,17,0,4,3,42,34,79,3,5,13,3,9,6,3,3,3,0,7,10,0,0,0,9,24,32,14,15,29,6,10,14,3,0,3,3,0,3,0,0,0,22,25,48,5,0,5,3,0,4,0,0,0,6,0,9,38,20,65,5,3,5,153,148,307
POA5095,130,142,275,573,503,1077,174,174,347,157,168,324,902,852,1757,220,205,430,142,145,286,169,172,342,542,523,1067,49,41,92,65,64,124,46,29,69,71,120,190,0,0,0,233,244,481,468,442,905,213,188,398,29,42,78,114,149,261,3,3,7,822,824,1649,44,49,94,53,73,124,0,0,0,100,119,220,528,499,1028,147,202,352,3401,3420,6819
POA5096,93,85,182,445,435,881,72,65,132,135,114,248,650,614,1259,233,203,436,73,80,151,101,93,192,409,372,778,18,21,39,18,35,52,36,19,55,42,87,124,4,0,4,117,160,280,128,156,289,38,55,92,11,20,30,34,64,100,0,0,0,211,296,511,17,20,42,22,49,69,0,0,0,37,69,109,316,341,659,15,35,43,1843,1980,3821
POA5097,80,66,146,429,419,852,98,70,170,91,66,162,623,562,1185,249,250,496,66,58,127,74,68,141,392,384,773,19,30,40,13,30,39,33,32,59,39,65,108,3,3,4,99,154,261,103,144,243,31,42,79,12,16,37,52,76,134,0,0,0,207,285,490,10,16,26,22,43,70,0,3,3,36,57,95,201,233,434,41,32,76,1671,1772,3450
POA5098,80,68,152,345,305,647,117,113,231,126,95,224,595,507,1098,206,173,381,72,69,140,55,66,122,333,307,643,18,15,31,16,29,43,25,19,47,38,67,108,0,0,0,97,124,221,106,118,229,53,78,129,18,18,34,34,69,98,0,0,0,208,274,487,11,27,35,21,42,67,0,0,0,32,72,100,262,315,572,43,59,100,1651,1728,3380
POA5106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,10,0,10,19,3,21,0,0,0,0,0,0,0,0,0,35,3,39,4,0,4,3,0,3,0,0,0,0,0,0,0,0,0,5,0,7,61,12,69,0,0,0,0,0,0,61,12,69,3,0,4,69,21,84,171,43,213
POA5107,151,105,250,558,494,1049,229,230,461,76,89,162,863,812,1677,284,279,564,144,165,312,69,68,134,496,510,1007,42,43,83,43,71,116,24,32,51,46,91,132,0,3,6,148,238,384,154,237,390,90,76,168,14,26,41,52,43,90,0,7,7,309,382,694,31,37,66,26,83,114,3,3,7,55,123,179,432,452,880,60,97,155,2508,2719,5225
POA5108,247,275,523,1432,1349,2784,335,332,667,209,236,449,1976,1925,3901,886,753,1643,243,244,485,189,205,389,1316,1195,2513,94,113,204,136,207,338,65,102,161,155,245,401,5,3,11,450,669,1115,290,383,673,109,141,250,34,54,84,55,122,176,3,5,6,493,709,1196,66,115,184,68,146,214,8,0,8,148,259,403,1214,1261,2476,73,94,170,5916,6392,12304
POA5109,112,131,245,658,598,1255,130,141,275,170,155,323,960,887,1850,359,346,705,91,99,190,147,148,294,601,591,1194,26,51,81,44,64,111,47,40,87,54,119,177,0,3,4,179,281,457,151,187,339,58,57,109,22,22,49,50,97,142,0,0,0,276,364,640,24,48,71,32,61,95,0,3,3,59,113,172,518,584,1100,27,38,66,2732,2994,5724
POA5110,65,70,135,308,312,615,91,94,187,49,63,113,449,463,917,131,114,252,74,75,147,51,44,97,262,232,492,16,16,27,11,17,32,9,19,29,24,57,79,0,0,3,62,111,174,71,80,148,14,35,50,4,14,20,10,34,39,0,0,0,106,158,263,9,15,25,20,36,51,0,0,0,29,50,75,308,324,629,19,17,36,1296,1428,2723
POA5111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,8,0,6,0,0,0,7,4,11,3,4,4,0,0,0,0,0,0,6,4,10,18,0,18,4,0,4,37,6,50
POA5112,112,103,214,616,584,1193,107,115,224,127,117,249,846,819,1664,419,338,759,79,89,169,108,93,204,603,523,1127,44,59,95,71,112,187,48,35,83,71,112,181,0,3,4,233,323,552,108,114,225,43,64,105,17,21,40,48,79,127,0,3,3,218,279,498,32,53,85,36,66,95,3,3,6,69,120,184,983,1041,2018,26,34,64,3095,3230,6326
POA5113,163,150,307,784,724,1508,89,87,175,77,74,149,948,890,1835,392,388,776,37,55,93,38,33,67,466,470,937,46,62,116,43,84,124,43,37,80,47,112,163,3,4,6,191,300,493,54,86,136,44,57,95,7,22,26,17,38,56,0,4,4,120,201,319,49,83,133,34,78,107,3,3,5,88,165,251,988,966,1953,12,21,35,2962,3168,6130
POA5114,285,284,567,1166,1042,2205,380,375,754,379,367,752,1925,1791,3716,593,566,1163,278,288,562,285,265,553,1152,1123,2273,78,90,168,45,116,160,75,81,158,137,221,355,4,7,6,341,519,855,205,310,520,78,105,185,32,47,80,98,147,241,0,0,0,411,609,1020,47,63,108,52,133,186,5,3,7,101,206,304,969,1020,1995,46,50,92,5230,5589,10818
POA5115,123,99,221,377,398,775,100,90,195,103,97,197,583,584,1165,177,159,334,52,59,114,42,52,93,271,273,543,27,26,56,20,43,60,17,36,52,39,79,119,0,0,0,103,187,286,55,76,124,29,49,79,6,16,18,26,63,91,0,0,3,120,199,317,20,22,37,14,42,62,0,0,4,39,68,106,346,350,701,8,9,15,1595,1763,3350
POA5116,74,68,143,230,213,443,63,71,135,150,147,297,444,433,877,142,108,248,49,57,107,133,115,245,331,273,604,21,21,39,8,24,33,22,25,53,22,54,77,0,0,0,77,130,201,34,70,105,21,33,53,4,21,27,20,55,79,0,0,0,78,188,265,8,19,20,12,35,40,0,0,0,18,48,67,256,282,539,14,19,28,1288,1436,2722
POA5117,12,27,46,72,80,150,43,34,81,90,61,149,200,177,376,26,31,52,31,49,82,63,35,103,120,119,234,3,3,4,0,0,0,10,8,21,11,13,19,0,0,0,22,22,45,19,26,51,0,0,4,3,3,6,0,10,10,0,0,0,29,45,69,0,0,4,5,6,10,0,0,0,9,10,12,64,64,125,0,0,0,454,459,915
POA5118,93,89,191,483,498,987,131,116,248,217,250,471,838,865,1707,201,175,370,200,231,432,189,180,365,583,588,1170,32,20,54,13,27,41,52,49,95,64,107,172,0,0,7,163,202,362,108,179,283,30,52,81,17,36,55,40,94,126,0,0,0,193,362,553,9,14,26,13,47,56,0,0,3,24,63,88,494,508,1005,14,26,35,2409,2696,5105
POA5120,21,16,37,47,60,105,20,14,28,19,18,35,80,86,166,18,15,34,16,16,32,8,13,27,45,49,93,0,0,4,0,5,5,0,3,3,3,3,9,0,0,0,6,9,15,23,23,45,4,5,7,3,0,3,3,3,4,0,0,0,25,34,62,0,0,0,0,3,4,0,0,0,0,3,4,97,64,165,0,4,7,277,275,555
POA5121,13,13,20,30,25,57,8,11,25,14,23,37,54,62,112,14,8,24,17,19,32,9,11,16,34,38,73,4,3,4,0,3,5,3,4,4,3,12,11,0,0,0,10,20,29,6,18,28,3,3,7,3,3,7,0,3,4,0,0,0,17,26,41,4,0,4,0,0,0,0,0,0,3,0,5,49,34,81,0,7,7,174,195,370
POA5125,81,118,202,622,601,1227,204,179,387,192,177,371,1024,964,1987,355,353,706,153,138,283,211,189,407,718,674,1390,36,32,62,8,34,47,55,37,87,54,102,158,0,0,0,156,202,357,224,254,475,43,62,106,45,40,91,57,116,168,0,0,3,365,471,842,9,12,22,17,52,70,0,0,3,31,65,99,287,377,663,29,42,69,2697,2912,5607
POA5126,41,43,81,261,230,495,58,39,92,53,47,100,371,316,690,130,108,245,23,32,63,39,41,77,193,189,382,9,5,16,9,3,13,16,10,33,29,36,63,0,0,0,68,63,129,52,67,121,13,27,39,6,14,17,17,42,64,0,0,0,92,154,248,3,3,9,20,21,47,0,0,0,23,33,59,116,134,251,8,27,29,921,953,1866
POA5127,44,38,80,204,194,392,58,52,112,80,72,154,342,314,662,122,124,245,45,56,99,73,76,154,248,256,497,8,21,30,5,18,27,24,15,41,20,31,56,0,0,0,68,87,155,83,119,207,10,35,47,10,18,29,28,49,75,0,0,0,127,221,350,7,3,12,16,22,37,0,0,0,19,26,45,106,111,221,19,17,41,970,1081,2054
POA5131,5,0,10,22,23,47,9,11,27,21,17,36,54,51,100,8,5,15,3,9,12,14,18,33,29,28,58,0,0,0,0,0,0,9,3,11,0,12,12,0,0,0,10,14,21,15,16,30,3,3,5,0,0,3,3,8,16,0,0,0,21,36,54,0,0,0,0,4,4,0,0,0,0,4,4,16,20,41,3,4,4,138,155,292
POA5132,4,3,9,21,22,45,3,4,3,0,9,5,24,29,52,0,4,6,5,0,5,3,4,11,8,11,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,5,0,10,0,0,0,0,0,0,3,0,4,0,0,0,8,8,13,0,0,0,0,3,4,0,0,0,3,4,8,10,7,19,0,0,0,56,64,118
POA5133,3,3,5,8,11,20,4,0,6,6,8,15,22,13,39,3,9,8,0,0,0,7,6,11,15,15,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,8,6,14,0,0,3,0,3,3,0,0,0,0,0,0,9,12,15,0,0,0,0,0,4,0,0,0,0,0,4,15,20,30,0,0,0,59,59,119
POA5134,0,3,3,15,12,24,5,3,5,0,0,3,18,13,30,3,7,15,3,3,3,5,10,16,16,19,33,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,7,0,3,6,0,0,3,0,0,0,0,3,6,0,0,0,5,13,16,3,0,3,0,0,0,0,0,0,3,3,6,20,19,33,0,0,0,61,62,126
POA5136,3,3,7,26,11,37,4,5,15,3,3,7,34,22,57,9,10,19,7,0,11,3,3,6,22,20,39,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,9,10,15,3,5,5,0,0,3,5,5,5,0,0,0,19,17,32,0,0,0,0,0,3,0,0,0,0,0,3,13,11,29,0,0,0,96,74,166
POA5137,3,7,6,22,16,35,0,3,8,3,3,9,28,23,53,7,8,17,3,3,11,8,4,9,17,22,36,3,0,4,0,0,3,3,0,7,0,0,3,0,0,0,4,7,12,7,9,20,0,0,0,0,0,0,0,9,9,0,0,0,13,20,33,3,0,3,0,0,3,0,0,0,0,0,3,22,15,33,6,3,11,94,97,187
POA5138,3,3,9,10,10,23,0,3,3,4,5,4,17,16,30,14,7,16,3,0,3,0,0,0,12,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,10,0,0,0,0,3,3,4,0,3,0,0,0,5,9,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,44,37,82
POA5139,3,0,3,10,6,17,0,0,0,0,3,5,15,11,20,9,5,14,0,0,0,3,3,7,12,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,8,10,11,0,0,0,34,38,72
POA5140,0,0,3,26,23,47,0,3,3,3,0,6,31,26,53,14,13,27,3,7,12,5,3,7,26,19,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,9,0,0,3,0,0,0,0,0,5,0,0,0,8,13,22,0,0,0,0,0,0,0,0,0,0,0,0,5,3,6,0,4,4,71,67,134
POA5141,8,3,13,23,29,56,0,5,5,6,11,19,33,42,74,10,15,21,0,0,0,11,14,20,18,22,46,0,0,0,0,0,0,3,3,4,3,0,0,0,0,0,6,11,12,10,16,24,4,0,3,0,0,0,3,9,11,0,0,0,17,21,42,0,0,0,0,3,3,0,0,0,0,0,7,18,21,37,0,0,3,98,133,234
POA5142,0,0,3,27,25,50,3,8,5,0,3,3,28,27,60,16,11,28,3,0,3,3,0,3,17,16,35,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,6,0,5,3,5,10,3,0,0,0,3,3,4,0,7,0,0,0,9,12,14,0,0,0,0,0,0,0,0,0,0,0,0,6,4,11,0,0,0,65,66,129
POA5144,0,0,0,11,6,18,0,0,0,5,7,12,17,16,32,0,9,11,0,0,0,3,8,4,4,10,20,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,5,10,0,0,0,0,0,0,0,5,6,0,0,0,9,12,19,0,0,3,0,0,3,0,0,0,0,3,3,9,11,17,0,0,0,43,51,94
POA5150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9,0,0,0,13,3,17
POA5151,0,0,0,8,12,24,0,0,0,7,3,17,18,21,36,5,9,18,0,0,0,13,9,24,19,17,42,0,0,3,0,0,0,3,0,5,0,0,3,0,0,0,3,3,10,5,5,7,0,7,7,0,0,0,3,0,3,0,0,0,8,10,21,0,0,0,0,0,0,0,0,0,3,0,3,12,7,21,0,3,3,62,68,128
POA5152,42,56,94,222,218,446,60,47,107,70,66,139,355,332,689,74,68,138,31,34,65,109,97,204,216,200,417,8,3,8,3,3,4,14,3,16,9,22,36,0,0,0,33,36,66,83,89,172,22,24,47,12,9,24,31,49,73,0,0,0,155,168,326,3,3,5,4,16,24,0,0,0,9,18,31,109,112,220,21,20,46,939,940,1883
POA5153,33,29,60,197,178,378,24,34,57,88,74,159,315,281,595,118,112,229,17,23,43,105,103,204,238,238,479,4,9,11,0,13,13,28,13,39,14,33,52,0,0,0,43,68,116,68,77,150,22,20,38,12,18,28,27,59,85,0,0,0,127,169,297,5,12,12,6,16,24,0,0,0,14,27,37,143,174,316,6,19,24,923,1000,1923
POA5154,30,21,50,136,134,267,17,30,52,42,45,84,191,210,405,32,46,82,9,19,26,63,63,133,107,133,240,0,0,3,3,3,6,12,0,11,3,4,14,0,0,0,14,12,34,42,40,88,15,21,34,9,5,8,12,31,44,0,0,0,81,99,175,0,0,3,10,4,17,0,0,0,8,8,17,55,62,123,6,14,20,499,561,1063
POA5155,27,41,70,151,157,309,15,12,30,45,47,90,212,212,429,62,69,128,7,9,22,42,38,85,117,119,234,6,6,6,0,7,8,8,4,10,10,28,39,0,0,0,24,44,70,34,49,78,17,23,37,0,7,10,17,42,57,0,0,0,68,117,186,3,0,3,8,16,24,0,0,0,4,21,26,56,74,130,6,7,12,514,636,1152
