POA_CODE_2016,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
POA5000,0,13,19,19,25,42,51,64,36,274,3,6,13,10,8,3,9,6,8,65,117,449,821,580,639,449,328,158,105,3642,901,3895,4618,2596,2443,1988,1428,583,294,18740
POA5005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA5006,0,3,0,3,0,5,24,28,21,88,0,3,0,0,0,3,3,7,3,18,45,91,150,77,119,116,117,71,73,858,548,1043,1368,738,865,877,867,428,260,7004
POA5007,3,5,5,12,23,49,92,126,128,450,0,3,0,3,7,15,17,25,39,116,7,26,84,57,66,47,31,29,29,374,139,705,1553,929,874,768,425,310,274,5981
POA5008,0,3,29,39,79,119,239,315,189,1017,0,3,24,29,32,43,54,78,32,298,52,72,148,121,125,106,95,95,53,865,381,1083,2265,1781,1820,1568,980,730,386,11001
POA5009,4,4,10,15,15,31,76,96,54,294,0,0,5,4,4,10,11,14,5,57,8,16,35,42,40,38,35,32,17,257,134,358,671,665,751,599,363,270,128,3939
POA5010,0,3,14,33,42,75,95,102,73,451,0,3,17,24,40,43,33,29,15,215,22,22,43,46,61,45,59,56,57,422,174,434,857,822,733,633,419,300,199,4567
POA5011,4,3,16,15,35,58,129,147,119,525,0,3,10,8,22,7,18,47,24,140,31,50,90,85,97,104,81,83,60,678,285,876,1948,1602,1644,1354,813,496,331,9349
POA5012,3,7,49,77,105,127,136,130,86,711,3,3,22,40,82,70,35,58,16,330,36,63,100,98,100,93,81,60,23,653,334,921,1815,1538,1369,1120,656,428,183,8379
POA5013,8,13,30,44,80,141,177,145,133,773,0,3,17,14,31,48,43,37,15,214,45,36,98,68,90,105,115,59,27,643,289,663,1374,1266,1470,1279,806,415,308,7875
POA5014,4,3,18,21,25,89,192,248,170,774,0,0,3,3,12,17,31,45,21,134,50,26,86,76,99,86,125,89,50,691,278,697,1697,1505,1686,1558,1032,708,364,9528
POA5015,0,0,6,10,19,37,63,66,36,227,0,0,0,4,6,3,7,12,3,40,11,28,41,37,53,55,56,23,16,316,135,346,856,774,889,813,505,224,80,4621
POA5016,5,0,6,10,16,39,84,117,141,410,0,0,0,5,0,3,0,4,4,17,14,5,30,38,55,43,63,62,78,384,205,433,1113,1081,1338,1143,762,497,431,7002
POA5017,0,7,16,17,13,42,91,89,23,301,0,0,0,4,3,0,3,3,0,14,21,12,35,58,37,63,66,33,11,335,127,283,601,622,704,673,523,283,73,3885
POA5018,0,3,3,3,4,26,68,48,27,188,0,0,0,0,0,0,0,7,3,5,4,10,15,17,23,45,45,42,25,226,134,327,543,573,793,1077,704,284,118,4549
POA5019,4,3,15,18,20,53,115,115,99,437,3,0,0,3,4,12,3,6,4,31,18,28,50,53,99,91,102,81,68,592,209,451,1014,1202,1364,1399,993,493,312,7447
POA5020,0,0,0,0,0,4,22,30,25,89,0,0,0,0,0,3,3,3,0,9,17,8,10,21,30,17,23,20,7,144,72,157,268,364,409,493,429,200,98,2477
POA5021,0,0,4,0,3,27,86,117,75,317,0,0,3,4,0,0,9,8,3,29,8,12,19,16,26,35,51,54,19,237,107,282,466,536,674,891,977,584,256,4773
POA5022,3,6,8,10,16,31,121,168,152,521,0,0,3,9,9,9,5,24,4,63,31,50,100,96,102,105,86,80,46,703,376,884,1580,1934,2331,2144,1594,900,517,12275
POA5023,3,9,28,29,61,125,293,450,253,1258,0,3,15,15,31,38,57,86,42,288,58,57,99,127,126,138,156,164,128,1058,438,1023,2507,2024,2221,1828,1399,1200,637,13288
POA5024,0,0,8,13,12,59,206,294,159,755,0,3,0,3,5,14,20,38,22,97,24,35,68,68,80,70,82,109,51,583,342,799,1466,1667,2001,1639,1535,1136,501,11085
POA5025,0,0,3,3,25,44,186,210,104,586,0,0,5,7,9,7,11,34,10,76,13,17,40,28,40,26,45,46,29,275,195,496,1017,991,1149,912,848,633,245,6476
POA5031,3,9,7,15,20,38,140,241,77,544,4,3,10,17,8,8,27,58,13,156,24,33,83,73,80,69,64,52,19,490,260,959,1884,1365,1324,1034,643,507,163,8137
POA5032,0,5,22,20,26,51,144,223,116,609,0,3,4,9,13,8,10,37,19,102,18,35,80,67,68,64,65,69,82,556,288,914,2018,1642,1692,1410,1035,793,447,10246
POA5033,0,4,3,11,25,39,126,159,97,478,0,0,8,10,18,14,13,32,10,112,18,46,102,67,69,53,65,75,104,599,216,734,1616,1132,1016,798,588,459,323,6877
POA5034,0,0,3,7,7,19,53,96,87,274,0,0,3,3,5,6,6,18,5,47,21,24,52,40,53,53,47,38,46,377,275,729,1445,1327,1259,1237,857,428,342,7901
POA5035,0,3,0,0,10,20,46,55,59,192,0,0,3,0,3,3,4,10,6,30,12,33,77,51,42,60,45,38,47,397,155,465,1094,887,741,686,527,335,230,5123
POA5037,3,0,13,7,18,48,122,135,97,440,0,0,3,3,7,3,7,11,9,54,20,31,95,66,61,48,72,115,215,715,254,947,1841,1369,1193,1032,822,671,553,8685
POA5038,3,4,13,13,33,72,132,178,112,561,0,3,18,10,16,19,14,19,14,111,16,53,141,84,74,97,82,93,54,691,337,1224,2942,2107,1807,1612,1136,784,427,12376
POA5039,3,3,3,15,18,58,64,102,82,351,0,0,3,3,4,9,7,16,3,55,16,26,71,58,51,77,35,57,38,416,221,655,1431,1239,1053,1058,556,435,274,6923
POA5040,0,0,7,0,3,9,24,20,9,77,0,0,0,0,0,0,0,0,0,3,0,4,3,8,6,18,16,13,6,78,66,117,210,269,320,347,311,180,57,1870
POA5041,3,3,5,3,16,28,88,116,129,391,0,0,8,0,3,3,12,16,7,49,19,21,45,60,46,63,72,86,119,542,350,755,1453,1793,1858,1606,1177,675,627,10282
POA5042,0,0,12,21,24,48,111,168,112,487,0,0,6,8,9,17,17,23,7,82,24,46,123,82,93,130,164,186,127,976,426,1089,1955,1413,1211,1137,1005,904,467,9601
POA5043,10,12,25,29,70,107,219,311,270,1056,0,7,16,31,32,29,19,25,11,169,33,79,161,109,128,124,143,145,105,1032,473,1529,3015,2289,2065,2024,1722,1311,818,15249
POA5044,0,0,9,3,12,21,65,100,138,342,0,3,8,0,4,3,0,6,4,27,11,25,39,48,50,57,55,87,91,462,235,657,1075,1217,1442,1342,1105,755,606,8447
POA5045,0,3,5,8,17,29,82,94,106,348,0,0,4,0,7,3,3,7,7,34,36,74,181,163,140,196,156,134,152,1233,320,1021,2213,2020,2125,2357,1732,921,592,13305
POA5046,3,0,5,5,19,29,75,85,120,349,0,4,7,3,8,14,5,0,9,49,16,52,69,56,45,42,67,63,51,453,222,775,1297,1080,1017,1077,886,566,483,7398
POA5047,0,7,13,12,25,46,79,102,56,331,0,4,14,12,7,7,3,6,4,59,27,30,88,48,67,52,62,59,29,466,221,585,1323,1079,973,897,789,487,198,6540
POA5048,0,3,19,17,44,52,71,108,109,423,0,0,12,14,39,44,15,6,5,130,17,24,65,91,85,141,123,147,135,822,292,714,1437,1656,1845,1975,1586,1032,757,11286
POA5049,3,0,4,6,7,21,47,67,42,201,0,0,0,0,0,3,10,4,4,20,27,23,40,28,49,95,49,34,20,367,215,505,1035,1244,1329,1391,1132,524,204,7574
POA5050,0,3,0,3,0,3,20,34,45,112,0,0,0,0,3,3,0,0,0,13,11,14,18,18,35,21,26,37,20,202,148,317,496,631,725,690,683,446,208,4347
POA5051,0,0,11,9,10,13,49,41,31,160,0,0,0,3,3,14,5,3,0,28,15,6,35,46,40,47,63,42,16,309,348,745,1197,1960,2022,1811,1399,579,223,10293
POA5052,0,0,0,0,3,3,8,19,25,57,0,0,0,0,0,0,0,0,0,3,17,9,8,19,33,13,23,39,61,217,162,329,471,782,922,762,740,425,231,4823
POA5061,6,3,6,5,10,9,52,95,59,249,0,0,0,0,5,3,5,17,4,38,21,27,23,37,50,45,57,33,16,308,233,662,1106,1173,1367,1241,1021,467,239,7508
POA5062,0,0,7,14,10,32,59,66,85,268,0,0,0,0,5,3,4,7,0,24,14,40,46,55,65,74,85,63,77,512,329,913,1409,1709,2069,1985,1555,738,495,11203
POA5063,0,0,3,5,7,29,84,118,87,336,0,0,0,9,10,3,12,13,8,58,24,29,82,90,88,88,92,73,99,665,276,800,1712,1664,1641,1469,1152,647,493,9855
POA5064,4,0,3,3,3,3,38,50,60,164,0,0,0,3,0,5,4,3,0,19,21,10,24,44,51,60,58,86,169,524,270,471,716,1079,1308,1261,1114,757,647,7634
POA5065,0,3,10,8,12,8,25,49,53,173,0,0,3,0,0,0,0,4,3,18,14,21,51,59,56,76,88,80,99,537,193,569,979,1284,1388,1213,1148,651,500,7916
POA5066,0,0,0,4,4,9,31,46,30,125,0,0,3,5,0,5,4,4,0,19,29,23,17,38,32,58,51,43,24,306,325,670,791,1371,1731,1548,1262,701,296,8696
POA5067,0,3,3,3,3,12,57,89,58,228,0,0,8,3,3,10,4,22,11,64,16,36,155,78,78,74,72,70,37,617,227,717,1747,1367,1214,1278,1065,538,202,8355
POA5068,7,0,7,7,9,14,64,153,85,341,0,0,3,3,0,11,7,10,13,46,15,29,49,43,49,60,80,69,68,474,294,856,1329,1431,1560,1443,1207,875,586,9577
POA5069,0,0,3,3,9,11,53,105,70,256,0,0,10,4,3,11,4,15,20,65,15,27,56,37,53,47,33,41,9,317,181,628,1139,1034,1200,1027,721,415,197,6533
POA5070,0,5,13,6,22,51,203,377,279,953,0,0,4,8,10,4,27,45,31,138,15,32,71,61,63,53,75,110,108,595,279,1056,2169,1782,1702,1479,1235,1089,758,11551
POA5072,5,4,7,7,11,34,117,190,120,499,0,0,11,3,7,7,13,25,17,84,12,24,61,44,59,52,59,85,47,443,330,761,1513,1615,1664,1421,1228,818,438,9788
POA5073,3,4,13,11,25,43,270,387,144,897,0,0,7,10,9,10,39,63,34,175,21,22,43,58,90,57,80,98,45,515,363,960,1835,1942,2118,1528,1412,1221,479,11855
POA5074,0,3,10,8,29,89,259,359,215,980,0,3,13,8,5,19,39,66,44,192,35,25,73,74,82,65,96,121,60,627,289,765,1742,1693,1706,1303,1194,1076,511,10271
POA5075,0,0,7,17,6,54,171,218,100,569,0,0,3,5,5,9,18,21,14,82,23,26,51,40,57,60,56,76,49,431,244,667,1287,1309,1321,1254,1171,796,345,8394
POA5076,0,0,4,6,3,35,135,134,28,346,0,0,5,0,0,6,14,21,9,59,3,15,11,25,21,30,41,41,15,200,223,610,934,1109,1406,1281,970,492,107,7123
POA5081,4,3,9,4,14,16,33,80,72,235,0,3,7,4,7,8,5,6,4,37,21,31,72,65,64,62,65,57,34,464,221,646,1134,1082,1234,1249,975,634,357,7539
POA5082,3,0,20,14,12,41,113,206,139,554,6,9,24,21,21,22,19,35,12,166,32,51,117,76,97,99,77,62,43,653,362,1221,2322,1942,2006,1813,1045,624,333,11664
POA5083,3,4,13,15,14,37,61,88,69,293,0,3,12,4,10,12,9,7,9,77,6,17,41,36,30,33,27,26,28,251,163,504,1249,1056,926,889,523,307,204,5802
POA5084,11,41,77,103,82,98,122,122,94,744,9,38,104,160,119,78,40,31,10,593,41,65,138,142,107,105,77,67,25,767,275,823,1805,1464,1211,990,632,372,208,7783
POA5085,12,26,61,76,78,110,186,205,163,903,0,13,74,56,80,53,53,28,13,375,49,174,464,396,247,153,152,122,116,1872,445,1376,4163,3161,2151,1734,1246,781,519,15582
POA5086,6,3,26,36,48,113,165,177,109,687,0,8,13,25,26,28,15,12,11,147,25,37,147,129,107,123,127,94,43,830,373,1032,2790,2375,1989,1727,1254,714,337,12596
POA5087,3,3,12,20,17,49,129,177,75,481,3,0,9,5,22,18,10,12,5,93,23,23,95,84,68,70,63,101,78,600,241,740,2228,1627,1267,1140,863,668,288,9065
POA5088,0,3,6,5,7,29,45,48,17,167,0,0,0,0,3,4,3,5,0,23,3,8,28,28,32,26,26,22,9,173,59,202,535,460,420,378,281,188,48,2571
POA5089,0,0,4,3,6,4,53,55,10,152,0,0,0,3,0,0,3,0,0,7,12,12,26,21,33,23,28,26,11,197,154,354,737,798,1001,833,755,266,69,4974
POA5090,0,3,5,13,16,27,101,183,219,571,0,0,0,3,3,3,5,10,8,33,13,14,24,20,40,22,44,78,82,340,167,355,896,850,875,845,904,773,656,6320
POA5091,0,3,3,5,4,10,62,62,28,173,0,0,0,0,0,4,0,3,0,12,19,6,35,41,41,36,53,34,14,271,201,372,843,982,1040,856,940,436,102,5768
POA5092,3,0,23,12,25,69,151,154,77,513,0,3,12,13,13,9,13,16,3,76,31,36,104,82,75,78,90,102,56,660,463,1101,2459,2380,2144,2170,1752,937,313,13712
POA5093,0,3,11,16,19,36,147,96,60,395,0,3,7,9,19,11,16,7,5,73,19,14,40,46,39,42,86,61,27,369,216,510,1195,1212,1109,911,1149,501,149,6954
POA5094,4,3,0,3,6,9,24,12,4,65,0,0,3,3,3,8,0,0,0,24,7,0,14,4,5,14,7,4,0,62,47,66,127,119,118,99,113,57,11,761
POA5095,9,10,51,41,64,111,141,155,69,650,3,12,23,46,59,46,32,33,7,266,60,70,230,155,152,100,86,73,59,985,612,1790,3879,3093,2549,1965,1140,575,213,15827
POA5096,9,4,25,34,42,87,156,111,52,522,0,3,22,32,35,20,15,27,3,161,41,34,72,69,81,91,72,81,21,564,364,877,1812,1734,1808,1621,1095,631,192,10125
POA5097,3,3,5,12,9,47,168,153,157,552,0,0,0,0,5,0,8,0,16,29,21,17,40,57,51,70,53,86,64,461,303,742,1683,1700,1722,1724,1396,763,404,10440
POA5098,3,3,21,21,28,70,240,144,120,659,0,15,11,22,34,24,25,12,11,155,21,27,58,73,67,75,115,85,50,576,249,683,1491,1718,1485,1280,1527,718,340,9501
POA5106,0,0,0,0,0,0,3,4,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,24,46,9,41,69,3,3,10,22,28,47,226
POA5107,3,15,62,80,112,129,265,174,71,921,0,13,48,78,103,110,61,41,22,478,42,38,114,103,129,114,104,85,38,771,499,1153,2573,2236,2272,1868,1328,695,205,12824
POA5108,21,56,212,206,262,368,570,405,174,2281,6,36,120,205,242,201,122,109,30,1073,117,168,383,311,323,286,265,246,99,2206,1180,2973,6193,5109,5304,4489,2846,1543,528,30162
POA5109,7,13,66,80,90,135,301,244,95,1027,0,12,25,54,61,65,32,39,14,299,54,50,132,127,131,152,157,120,79,1011,595,1308,2657,2581,2758,2538,1973,1131,392,15929
POA5110,7,5,37,39,51,77,118,100,21,458,0,5,19,30,48,61,37,26,17,244,36,38,54,79,87,77,73,57,24,532,262,613,1391,1222,1096,944,604,356,97,6577
POA5111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,4,3,0,0,0,0,0,21,33,120,93,29,10,7,4,0,0,300
POA5112,23,23,101,127,108,146,269,185,111,1094,3,15,53,109,84,61,36,28,9,395,94,121,217,215,264,238,226,315,194,1881,597,1331,2526,2304,2609,2243,1603,1271,597,15093
POA5113,19,22,80,97,121,177,247,175,89,1044,9,12,29,57,51,28,24,26,20,250,115,144,276,209,243,228,193,211,73,1690,632,1443,2820,2027,2241,1976,1391,997,355,13881
POA5114,7,22,98,74,85,183,268,130,70,945,0,9,42,55,36,34,25,18,11,235,99,148,314,227,242,197,181,147,94,1646,1042,2616,5363,4144,4365,3253,1850,857,363,23846
POA5115,3,15,31,18,23,54,84,44,8,286,0,3,8,11,6,13,5,10,3,63,31,53,120,91,56,67,39,12,9,495,335,960,2188,1229,1015,771,419,164,35,7111
POA5116,4,6,3,13,11,41,123,110,66,377,0,0,4,0,3,0,3,9,4,23,30,20,72,58,55,63,78,78,53,501,265,600,1231,1041,1109,1059,857,616,225,7014
POA5117,3,5,0,4,8,13,26,20,8,77,0,0,0,0,0,0,3,0,3,6,7,9,12,18,11,11,10,12,7,95,91,172,279,431,475,258,189,94,24,2017
POA5118,4,0,11,25,40,89,228,224,151,772,0,4,4,4,0,8,8,10,3,33,52,51,82,114,182,185,152,124,74,1011,520,1125,1880,2141,2779,2436,1695,1012,470,14058
POA5120,0,4,8,14,30,33,43,34,8,174,0,3,4,3,11,19,12,15,4,72,6,6,17,25,25,28,9,15,3,134,48,117,238,279,272,284,168,87,18,1510
POA5121,0,0,3,3,3,26,43,25,5,122,0,0,0,0,3,12,7,6,0,30,4,9,4,5,6,12,14,22,6,86,32,140,204,146,200,226,197,146,27,1322
POA5125,0,3,9,12,19,35,107,84,30,302,0,0,0,0,4,6,5,3,0,30,26,38,57,74,95,78,89,86,81,635,565,1164,1963,2534,3102,2378,1557,765,215,14244
POA5126,3,0,6,6,8,23,45,28,17,141,0,0,0,0,3,3,0,0,0,11,14,13,18,36,27,26,41,28,8,208,176,418,903,972,926,879,737,287,67,5371
