"","POA_CODE_2016","people.tier.1.500","people.tier.2.500.1249","people.tier.3.1250.2499","people.tier.4.2500.6000","avg.income.per.week","quartile"
"1","5000",48425,422800,1286625,2466000,2173.880597,"very high"
"2","5005",0,0,0,0,0,NA
"3","5006",18200,191525,696125,2456750,2747.222222,"very high"
"4","5007",35550,348775,947250,1407250,1927.392681,"high"
"5","5008",90400,892175,1914625,2159500,1702.019522,"high"
"6","5009",30725,316125,868375,792000,1743.896612,"high"
"7","5010",49500,452475,782875,570250,1452.701644,"low"
"8","5011",54325,687075,2045000,2373500,1890.07326,"high"
"9","5012",99625,857225,1542750,874000,1396.935818,"low"
"10","5013",75200,731100,1471500,969000,1498.984303,"medium"
"11","5014",68750,824175,2009500,1882750,1722.525198,"high"
"12","5015",32800,391625,919000,972750,1752.023449,"high"
"13","5016",37000,500200,1530875,2040250,1978.009148,"very high"
"14","5017",42150,427225,776000,496250,1473.456007,"medium"
"15","5018",20775,385350,1067125,1413750,1962.610469,"very high"
"16","5019",52325,513375,1428750,2123250,1972.078544,"very high"
"17","5020",6525,200825,523375,979000,2142.512531,"very high"
"18","5021",30450,420500,949625,1800750,2061.381198,"very high"
"19","5022",48950,779650,2293750,5535750,2350.828129,"very high"
"20","5023",120125,1221575,2725375,2256500,1616.455777,"medium"
"21","5024",61775,901675,2271000,3878750,2060.602549,"very high"
"22","5025",43100,579775,1368375,2050000,1915.28436,"high"
"23","5031",54025,494975,1423625,2222000,1985.151443,"very high"
"24","5032",55650,794850,2103875,2938000,1973.333891,"very high"
"25","5033",45350,512600,1354750,1115000,1706.708005,"high"
"26","5034",24350,380675,1338875,4138250,2602.721239,"very high"
"27","5035",24875,346875,928125,1408000,1999.907681,"very high"
"28","5037",43700,662475,1657750,1960500,1849.625749,"high"
"29","5038",76975,975175,2688750,2553250,1783.550581,"high"
"30","5039",40150,496025,1433125,1909750,1942.438658,"high"
"31","5040",10875,157750,392125,686000,2047.208539,"very high"
"32","5041",41025,615850,1971625,4884250,2387.273594,"very high"
"33","5042",55275,757875,1679375,1528000,1687.169534,"high"
"34","5043",102800,1340300,2932000,2472000,1641.990408,"medium"
"35","5044",31225,579400,1626000,3660000,2302.469738,"very high"
"36","5045",60850,734375,2320000,4889500,2276.009383,"very high"
"37","5046",52150,568725,1545250,1537250,1771.949761,"high"
"38","5047",41200,585075,1416375,1333500,1728.699437,"high"
"39","5048",55250,835975,2129875,3858000,2096.008531,"very high"
"40","5049",47150,584975,1749000,2917500,2094.318182,"very high"
"41","5050",22425,322775,942875,1656250,2127.402457,"very high"
"42","5051",34575,675950,2566625,5179500,2339.969563,"very high"
"43","5052",12375,293200,1135375,2505750,2434.731647,"very high"
"44","5061",28575,332975,1156250,4970250,2887.427681,"very high"
"45","5062",41150,584800,1989750,6704250,2659.803082,"very high"
"46","5063",33900,473300,1606125,4576500,2514.971805,"very high"
"47","5064",34900,399825,1224750,4403500,2674.44861,"very high"
"48","5065",29125,442925,1292750,4136250,2579.130245,"very high"
"49","5066",35925,416900,1472125,6203250,2844.016795,"very high"
"50","5067",30150,399075,1273750,3713500,2536.990632,"very high"
"51","5068",50325,570900,1549750,4353500,2413.790233,"very high"
"52","5069",29300,328925,1010250,3629500,2648.6354,"very high"
"53","5070",64625,881025,2043625,3457000,2006.934932,"very high"
"54","5072",53975,700800,1782500,3963000,2202.736361,"very high"
"55","5073",72300,1030675,2496250,3637750,1944.900564,"high"
"56","5074",80750,916350,2251500,2015750,1722.627618,"high"
"57","5075",54025,762650,1845500,2162500,1830.996205,"high"
"58","5076",35875,535950,1756750,2693250,2077.709971,"very high"
"59","5081",29975,342400,1196875,3933000,2646.584897,"very high"
"60","5082",49225,680850,2112875,4854750,2336.176024,"very high"
"61","5083",24175,401200,1203000,2046500,2130.362319,"very high"
"62","5084",78750,728450,1123000,788500,1396.353364,"low"
"63","5085",104875,1186400,3229250,3395750,1804.896261,"high"
"64","5086",92625,1114700,2782625,2709750,1744.713542,"high"
"65","5087",66225,806575,1915625,1885000,1737.978803,"high"
"66","5088",15775,281000,624250,334500,1555.793061,"medium"
"67","5089",20450,406975,1281250,2043250,2123.330504,"very high"
"68","5090",36575,614375,1377625,1054750,1651.486342,"medium"
"69","5091",25525,549075,1509000,1741500,1927.97379,"high"
"70","5092",82425,1320425,3533000,2747750,1719.695613,"high"
"71","5093",58550,755850,1733500,1071000,1567.980936,"medium"
"72","5094",9175,84575,133125,44250,1272.887324,"low"
"73","5095",101050,1219775,3642500,3946250,1865.488903,"high"
"74","5096",83300,1007100,2461875,1844750,1651.476438,"medium"
"75","5097",56525,973450,2832375,2420000,1787.297297,"high"
"76","5098",82225,1012100,2180375,1514500,1568.172888,"medium"
"77","5106",0,0,0,0,0,NA
"78","5107",114000,1429925,2976375,1478000,1470.171569,"medium"
"79","5108",341500,3419700,6539000,2761000,1382.722846,"low"
"80","5109",137400,1686925,3653250,2513500,1570.572917,"medium"
"81","5110",70075,683625,1527375,880000,1500.98528,"medium"
"82","5111",0,0,0,0,0,NA
"83","5112",173525,1638750,2330250,1331000,1326.27211,"low"
"84","5113",229625,1807625,1822000,460500,1087.276617,"low"
"85","5114",205350,2491450,6290125,3886500,1595.022302,"medium"
"86","5115",74850,769275,1939375,804500,1476.54321,"medium"
"87","5116",61650,779575,1555875,1345250,1604.781304,"medium"
"88","5117",7350,156025,604625,724750,2042.065663,"very high"
"89","5118",90875,1213050,3318625,3529250,1831.453606,"high"
"90","5120",9450,126800,347625,295250,1758.747178,"high"
"91","5121",9175,143675,288500,189500,1546.20098,"medium"
"92","5125",68525,1124600,3562250,5575000,2097.964054,"very high"
"93","5126",27125,464275,1614500,1442000,1867.315789,"high"
"94","5127",30100,490450,1567125,2105750,2005.463893,"very high"
"95","5131",5675,51525,196750,250500,2050.609756,"very high"
"96","5132",2700,19000,83125,140500,2250.688073,"very high"
"97","5133",1800,20100,75625,146250,2366.747573,"very high"
"98","5134",2025,35350,66125,150750,2084.016393,"very high"
"99","5136",2025,23000,95500,145000,2158.739837,"very high"
"100","5137",3150,30300,98000,219750,2389.115646,"very high"
"101","5138",0,17075,62625,130000,2410.344828,"very high"
"102","5139",0,5775,34125,72250,2386.170213,"very high"
"103","5140",675,10875,68625,171750,2494.306931,"very high"
"104","5141",1350,38975,103625,251750,2314.035088,"very high"
"105","5142",1350,28750,77375,217000,2421.455224,"very high"
"106","5144",0,26725,61625,174750,2554.368932,"very high"
"107","5150",0,4500,10500,34500,2605.263158,"very high"
"108","5151",2475,11150,51750,167500,2531.25,"very high"
"109","5152",11400,261000,901125,2933000,2634.076331,"very high"
"110","5153",17375,330550,1123500,2068500,2263.379156,"very high"
"111","5154",9300,157175,486625,1560750,2568.271462,"very high"
"112","5155",8025,153750,783750,1171250,2266.35439,"very high"
"113","5156",2250,51875,161500,346250,2302.766393,"very high"
"114","5157",7650,132825,538750,915250,2226.920391,"very high"
"115","5158",72500,1506275,5454375,5623000,1954.315936,"very high"
"116","5159",118600,2009925,6902875,7963250,1979.805452,"very high"
"117","5160",0,0,0,0,0,NA
"118","5161",53125,870325,2054875,1142000,1572.043113,"medium"
"119","5162",181550,2918550,6439000,3921000,1570.057156,"medium"
"120","5163",105300,1288850,2348500,1245500,1433.788445,"low"
"121","5164",55600,475350,606250,194250,1184.564057,"low"
"122","5165",37375,487025,738125,473750,1425.513136,"low"
"123","5166",14450,181650,262750,128250,1325.282167,"low"
"124","5167",30400,414250,1008250,843250,1667.501816,"high"
"125","5168",49425,435125,956750,580000,1506.184799,"medium"
"126","5169",97625,1293475,3303500,2296250,1646.843345,"medium"
"127","5170",3600,91100,189250,193000,1740.693431,"high"
"128","5171",34825,402725,1073750,1307250,1894.186828,"high"
"129","5172",15275,271000,722125,943750,1956.062124,"very high"
"130","5173",81600,997150,2184375,1233000,1520.502198,"medium"
"131","5174",17625,231600,486000,358500,1592.030568,"medium"
"132","5201",7875,134875,358375,388500,1884.798729,"high"
"133","5202",6000,57450,154500,94750,1571.356784,"medium"
"134","5203",8900,98600,202250,146500,1562.5,"medium"
"135","5204",22350,313275,420500,216500,1330.540356,"low"
"136","5210",9225,123325,365500,218500,1689.976415,"high"
"137","5211",118775,1737175,2092000,1288000,1348.081874,"low"
"138","5212",16750,246775,256125,163500,1301.238095,"low"
"139","5213",2700,102200,218000,136750,1671.454545,"high"
"140","5214",58575,962400,1030000,537500,1274.483013,"low"
"141","5220",0,8925,13500,8250,1460.714286,"medium"
"142","5221",3750,30325,30875,0,999.2307692,"low"
"143","5222",5850,62150,69875,30000,1207.733813,"low"
"144","5223",24850,284250,549875,340000,1502.474937,"medium"
"145","5231",4275,49900,268375,333750,2194.983278,"very high"
"146","5232",1350,15325,73250,168250,2435.613208,"very high"
"147","5233",8250,98000,245500,310250,1859.550562,"high"
"148","5234",3150,93650,242000,284750,1948.59375,"high"
"149","5235",22050,198375,455250,380500,1645.132399,"medium"
"150","5236",2025,22850,50375,35750,1541.666667,"medium"
"151","5237",3750,25650,47000,29000,1424.324324,"low"
"152","5238",37175,418025,523375,276750,1286.193648,"low"
"153","5240",2400,34800,121500,95500,1828.776978,"high"
"154","5241",10275,190675,465375,437000,1745.767405,"high"
"155","5242",3300,94925,288375,454750,2140.839695,"very high"
"156","5243",2025,49125,117000,313500,2361.029412,"very high"
"157","5244",17800,254900,757625,826250,1875.328283,"high"
"158","5245",9000,168575,475125,868250,2169.686163,"very high"
"159","5250",9825,177150,656875,1013750,2154.988399,"very high"
"160","5251",69975,948600,2681125,2853500,1863.822526,"high"
"161","5252",18550,411350,1386625,1209750,1862.323077,"high"
"162","5253",134225,1623475,2835375,1428250,1415.117509,"low"
"163","5254",11925,180250,461000,276500,1602.887931,"medium"
"164","5255",49000,709875,1693250,1293500,1658.824181,"medium"
"165","5256",14050,128825,186125,119000,1357.575758,"low"
"166","5259",10575,90950,144125,93250,1436.016949,"low"
"167","5260",13500,204850,237000,97500,1279.74537,"low"
"168","5261",4050,18150,81750,23500,1481.976744,"medium"
"169","5262",3300,30525,86750,46750,1656.683168,"medium"
"170","5263",0,5550,22000,21250,1952,"very high"
"171","5264",9375,111175,148375,110750,1411.431227,"low"
"172","5265",3300,36950,67375,13750,1348.611111,"low"
"173","5266",4275,45000,131375,70750,1687.248322,"high"
"174","5267",11475,132950,344375,229500,1610.538117,"medium"
"175","5268",17875,242750,627500,358500,1600.288832,"medium"
"176","5269",1350,21275,39750,8250,1332.54717,"low"
"177","5270",2250,35900,126625,125500,1922.350993,"high"
"178","5271",41875,510225,1331250,985000,1671.532634,"high"
"179","5272",3150,52375,160125,115750,1665.326633,"high"
"180","5273",0,7200,14625,0,1364.0625,"low"
"181","5275",18900,216000,343375,345250,1554.755892,"medium"
"182","5276",4500,82700,210625,150500,1672.854478,"high"
"183","5277",19075,210950,512375,357750,1589.812139,"medium"
"184","5278",6000,45125,64625,42750,1331.932773,"low"
"185","5279",8100,41575,90625,43250,1369.776119,"low"
"186","5280",52600,575875,1081875,962750,1593.97734,"medium"
"187","5290",178225,1861475,4337875,2888500,1576.131145,"medium"
"188","5291",35300,523000,1631250,1886750,1939.248335,"high"
"189","5301",6900,58175,80500,46750,1308.333333,"low"
"190","5302",5675,65450,139500,136750,1719.678218,"high"
"191","5303",0,14600,36375,8250,1600.675676,"medium"
"192","5304",3825,43625,154125,99500,1691.432584,"high"
"193","5306",1575,3375,5500,9750,1262.5,"low"
"194","5307",6450,59425,69375,35750,1257.352941,"low"
"195","5308",1350,8250,29625,0,1307.5,"low"
"196","5309",0,10425,32625,0,1484.482759,"medium"
"197","5310",0,3600,4125,8250,1597.5,"medium"
"198","5311",3150,32950,71500,47750,1618.229167,"medium"
"199","5320",13875,67200,68000,41750,1142.664671,"low"
"200","5321",2475,31000,45750,11000,1171.753247,"low"
"201","5322",5625,95775,178500,107750,1502.51938,"medium"
"202","5330",24025,289275,545000,367000,1501.593137,"medium"
"203","5331",2475,35525,66500,8250,1326.470588,"low"
"204","5332",2700,45775,77125,23250,1391.121495,"low"
"205","5333",38300,452375,1019375,650750,1559.018759,"medium"
"206","5340",4725,107925,259000,185250,1667.365269,"high"
"207","5341",60075,639775,1143375,782250,1489.208735,"medium"
"208","5342",7700,95850,219750,163250,1660.580205,"medium"
"209","5343",37650,400125,667125,534750,1502.887259,"medium"
"210","5344",7050,71525,194750,107500,1560.758197,"medium"
"211","5345",31575,289525,553000,374250,1477.337278,"medium"
"212","5346",2250,28225,75000,20750,1434.375,"low"
"213","5350",675,15775,85625,112250,2143.25,"very high"
"214","5351",26075,372400,1175625,1244000,1898.989218,"high"
"215","5352",20450,341425,926000,1207750,1972.826087,"very high"
"216","5353",22700,275775,663625,687750,1795.266594,"high"
"217","5354",6050,31450,31375,11000,1109.375,"low"
"218","5355",28900,554475,1519125,1185750,1737.057581,"high"
"219","5356",6675,52275,131500,87500,1502.432432,"medium"
"220","5357",3150,42450,46750,11000,1135.714286,"low"
"221","5360",6525,63775,264125,233000,1878.890728,"high"
"222","5371",2400,60825,247125,288750,2073.010381,"very high"
"223","5372",9950,133200,483875,345250,1745.556553,"high"
"224","5373",18325,294025,601750,472750,1607.010429,"medium"
"225","5374",12475,110700,223625,152250,1450.726744,"low"
"226","5381",3525,35275,46750,8250,1172.5,"low"
"227","5400",1350,38725,196250,100250,1849.313187,"high"
"228","5401",5900,66925,123500,93250,1548.529412,"medium"
"229","5410",1350,31225,55125,29500,1522.077922,"medium"
"230","5411",0,28025,35625,59000,1777.536232,"high"
"231","5412",7700,112875,168000,117250,1465.072202,"medium"
"232","5413",7800,76450,116750,52500,1327.225131,"low"
"233","5414",1800,11000,19000,0,1223.076923,"low"
"234","5415",0,26650,31250,44000,1670.491803,"high"
"235","5416",0,22500,37500,0,1304.347826,"low"
"236","5417",7525,128750,208250,116500,1418.538462,"low"
"237","5418",1350,5800,13625,15000,1626.136364,"medium"
"238","5419",1800,18225,34750,19500,1485.5,"medium"
"239","5420",0,5550,6500,0,1205,"low"
"240","5421",2250,3900,19125,0,1053.125,"low"
"241","5422",22625,165300,135250,92250,1144.421488,"low"
"242","5431",6900,62200,140375,102500,1544.430693,"medium"
"243","5432",0,8000,34375,41000,2194.078947,"very high"
"244","5433",7200,99325,152375,185000,1675.09434,"high"
"245","5434",1800,21825,48000,40000,1550.347222,"medium"
"246","5440",0,10775,30750,23250,1704.605263,"high"
"247","5451",4325,50250,135125,80000,1586.470588,"medium"
"248","5452",1350,22675,127125,67500,1868.803419,"high"
"249","5453",24175,348750,896500,798750,1746.769426,"high"
"250","5454",3600,40875,47375,24750,1340.229885,"low"
"251","5455",0,0,4875,0,1625,"medium"
"252","5460",4950,59750,113125,97750,1611.549708,"medium"
"253","5461",17050,200875,403875,351500,1660.921502,"high"
"254","5462",1350,47750,85375,51250,1573.940678,"medium"
"255","5464",2400,59875,120750,64250,1585.096154,"medium"
"256","5470",0,10875,14625,28250,1853.448276,"high"
"257","5471",0,6075,10375,8250,1543.75,"medium"
"258","5472",1350,18500,11625,0,1049.166667,"low"
"259","5473",5775,76475,108125,37500,1273.044693,"low"
"260","5480",6750,57225,130000,78250,1504.005525,"medium"
"261","5481",3375,56350,91000,64500,1505.06993,"medium"
"262","5482",0,29050,95250,74750,1895.714286,"high"
"263","5483",300,19725,48375,59250,1905.223881,"high"
"264","5485",3750,40400,74250,70000,1583.193277,"medium"
"265","5490",4050,8300,19125,18000,1413.571429,"low"
"266","5491",9375,125150,321875,318750,1815.339578,"high"
"267","5493",0,8250,0,0,916.6666667,"low"
"268","5495",6450,61375,67500,83750,1470.302013,"medium"
"269","5501",40250,480000,1349375,1044500,1711.171462,"high"
"270","5502",4875,109475,304625,216250,1689.428191,"high"
"271","5510",0,10100,29625,15000,1765.322581,"high"
"272","5520",3300,52125,68000,69000,1468.89313,"medium"
"273","5521",2700,15175,16500,15000,1334.459459,"low"
"274","5522",14475,123025,179750,180000,1458.211144,"medium"
"275","5523",13050,130050,278375,385500,1789.301552,"high"
"276","5540",126300,1203575,2118625,1795250,1522.575494,"medium"
"277","5550",4650,78075,153250,63000,1444.323671,"low"
"278","5552",2250,28075,47875,75750,1832.738095,"high"
"279","5554",42825,407450,803500,595000,1529.177006,"medium"
"280","5555",5175,44225,58750,60000,1449.568966,"low"
"281","5556",40725,423700,502625,369000,1352.277328,"low"
"282","5558",41100,488750,672125,429750,1382.817797,"low"
"283","5560",5550,46225,60375,53000,1436.086957,"low"
"284","5570",7200,55300,68875,26750,1225.775194,"low"
"285","5571",13950,181275,249000,167750,1384.558824,"low"
"286","5572",0,10125,20625,31000,1991.935484,"very high"
"287","5573",11825,155550,322250,246000,1595.715835,"medium"
"288","5575",19925,236000,299375,176250,1344.761029,"low"
"289","5576",7425,92375,136000,137500,1511.336032,"medium"
"290","5577",4950,47075,76250,26250,1236.2,"low"
"291","5580",1800,36825,48000,35750,1456.845238,"low"
"292","5581",1350,73850,41750,50000,1294.186047,"low"
"293","5582",5700,62625,96875,58000,1377.777778,"low"
"294","5583",6300,79750,71125,42250,1216.006098,"low"
"295","5600",36175,334650,964375,1622750,2044.194886,"very high"
"296","5601",3825,33000,44500,100750,1785.04902,"high"
"297","5602",9150,108950,188000,168000,1534.304207,"medium"
"298","5603",2550,35875,70500,74250,1696.064815,"high"
"299","5604",2700,16300,23625,8250,1240.853659,"low"
"300","5605",11400,132050,257250,184000,1563.368984,"medium"
"301","5606",84250,985675,2152375,1962000,1676.681759,"high"
"302","5607",28375,341950,805500,717500,1698.049327,"high"
"303","5608",146675,977750,1630375,1510750,1458.307692,"medium"
"304","5609",9750,115075,312625,542000,2070.718816,"very high"
"305","5630",0,3375,18375,36250,2761.904762,"very high"
"306","5631",7700,70525,207000,157750,1779.016064,"high"
"307","5632",0,8000,71375,73250,2422.619048,"very high"
"308","5633",1350,26000,49625,31250,1524.295775,"medium"
"309","5640",9975,59600,180125,133000,1628.510638,"medium"
"310","5641",6575,63600,189875,160750,1783.050847,"high"
"311","5642",0,21800,40250,73000,2046.212121,"very high"
"312","5650",0,13800,32125,50750,2148.333333,"very high"
"313","5651",0,0,0,43250,4325,"very high"
"314","5652",2250,50150,135375,107000,1744.230769,"high"
"315","5653",0,6075,6750,15000,2318.75,"very high"
"316","5654",2250,15650,43125,44500,1758.75,"high"
"317","5655",0,9675,22125,13750,1687.037037,"high"
"318","5660",0,0,0,0,0,NA
"319","5661",1350,14100,29125,36500,1801.666667,"high"
"320","5670",2550,38050,77750,48000,1526.146789,"medium"
"321","5671",1350,11675,19000,34500,1847.916667,"high"
"322","5680",10725,143000,321375,260500,1649.327354,"medium"
"323","5690",19650,201575,497125,484000,1750.14556,"high"
"324","5700",85750,751375,1390125,1515750,1616.148532,"medium"
"325","5701",0,0,0,0,0,NA
"326","5710",9500,127800,374500,417750,1866.566265,"high"
"327","5713",0,0,0,0,0,NA
"328","5715",0,0,0,0,0,NA
"329","5717",0,0,0,0,0,NA
"330","5719",0,0,0,0,0,NA
"331","5720",0,6075,25875,28000,2305.769231,"very high"
"332","5722",1800,15825,22125,55000,1822.115385,"high"
"333","5723",7250,102850,205875,145500,1559.037162,"medium"
"334","5724",6300,27125,11625,31750,1146.268657,"low"
"335","5725",5875,29975,530125,1789000,2973.453283,"very high"
"336","5730",1350,4875,16500,0,1262.5,"low"
"337","5731",0,16500,42000,21250,1627.55102,"medium"
"338","5732",4050,14000,9000,0,872.5806452,"low"
"339","5733",2700,12350,11625,0,987.962963,"low"
"340","5734",3525,2300,6750,0,739.7058824,"low"
"341","5950",0,0,0,0,0,NA
"342","5960",0,0,0,0,0,NA
