POA_CODE_2016,total.people,total.people.male,total.people.female,total.age.0-14,total.age.15-19,total.age.20-54,total.age.54-100,age.predominant.class,age.predominant.class.value,total.family.weekly.income.1-500,total.family.weekly.income.500-1249,total.family.weekly.income.1250-2499,total.family.weekly.income.2500-6000,average.family.weekly.income,averaga.family.weekly.income.class,family.comp.couples.no.children,family.comp.couples.children.under.15y,family.comp.one.parent.children.under.15y,family.com.predominant.class,family.com.predominant.class.value
5250,3448,1675,1767,796,254,1516,876,adults,1516,9825,177150,656875,1013750,2154.988399,very high,672,1432,184,family.comp.couples.children.under.15y,1432
5251,14401,6801,7606,2949,991,6505,3958,adults,6505,69975,948600,2681125,2853500,1863.822526,high,2981,4911,1052,family.comp.couples.children.under.15y,4911
5252,6391,3150,3238,1448,478,3133,1344,adults,3133,18550,411350,1386625,1209750,1862.323077,high,1272,2553,401,family.comp.couples.children.under.15y,2553
5253,18469,9223,9249,3189,1156,8328,5806,adults,8328,134225,1623475,2835375,1428250,1415.117509,low,4183,4677,1595,family.comp.couples.children.under.15y,4677
5254,2356,1226,1126,417,180,1037,722,adults,1037,11925,180250,461000,276500,1602.887931,medium,595,783,105,family.comp.couples.children.under.15y,783
5255,9063,4351,4710,1706,590,3560,3212,adults,3560,49000,709875,1693250,1293500,1658.824181,medium,2312,2939,540,family.comp.couples.children.under.15y,2939
5256,1326,659,666,177,57,474,615,seniors,615,14050,128825,186125,119000,1357.575758,low,393,244,88,family.comp.couples.no.children,393
5259,1064,578,491,179,63,452,374,adults,452,10575,90950,144125,93250,1436.016949,low,285,284,65,family.comp.couples.no.children,285
5260,1764,879,885,285,108,663,711,seniors,711,13500,204850,237000,97500,1279.74537,low,483,399,158,family.comp.couples.no.children,483
5261,350,188,162,71,25,151,104,adults,151,4050,18150,81750,23500,1481.976744,medium,91,121,26,family.comp.couples.children.under.15y,121
5262,397,222,174,92,18,174,109,adults,174,3300,30525,86750,46750,1656.683168,medium,99,142,19,family.comp.couples.children.under.15y,142
5263,129,71,55,15,9,53,48,adults,53,0,5550,22000,21250,1952,very high,37,29,0,family.comp.couples.no.children,37
5264,1225,604,620,204,44,432,542,seniors,542,9375,111175,148375,110750,1411.431227,low,346,281,76,family.comp.couples.no.children,346
5265,445,239,204,91,21,195,138,adults,195,3300,36950,67375,13750,1348.611111,low,90,158,26,family.comp.couples.children.under.15y,158
5266,595,332,266,136,32,267,172,adults,267,4275,45000,131375,70750,1687.248322,high,165,242,11,family.comp.couples.children.under.15y,242
5267,1922,988,935,410,109,779,628,adults,779,11475,132950,344375,229500,1610.538117,medium,496,715,65,family.comp.couples.children.under.15y,715
5268,3486,1831,1653,620,217,1571,1081,adults,1571,17875,242750,627500,358500,1600.288832,medium,790,1102,137,family.comp.couples.children.under.15y,1102
5269,244,134,106,49,17,101,85,adults,101,1350,21275,39750,8250,1332.54717,low,53,78,14,family.comp.couples.children.under.15y,78
5270,582,313,274,118,43,257,166,adults,257,2250,35900,126625,125500,1922.350993,high,161,232,0,family.comp.couples.children.under.15y,232
5271,7372,3816,3552,1436,392,3298,2246,adults,3298,41875,510225,1331250,985000,1671.532634,high,1793,2473,363,family.comp.couples.children.under.15y,2473
5272,742,399,345,139,47,305,258,adults,305,3150,52375,160125,115750,1665.326633,high,244,233,33,family.comp.couples.no.children,244
5273,105,59,44,26,3,50,19,adults,50,0,7200,14625,0,1364.0625,low,27,55,0,family.comp.couples.children.under.15y,55
5275,2329,1199,1131,372,106,845,1004,seniors,1004,18900,216000,343375,345250,1554.755892,medium,723,644,94,family.comp.couples.no.children,723
5276,1227,630,601,168,33,489,530,seniors,530,4500,82700,210625,150500,1672.854478,high,350,269,28,family.comp.couples.no.children,350
5277,2880,1500,1382,564,148,1239,933,adults,1239,19075,210950,512375,357750,1589.812139,medium,692,927,164,family.comp.couples.children.under.15y,927
5278,501,277,224,96,28,219,162,adults,219,6000,45125,64625,42750,1331.932773,low,144,129,46,family.comp.couples.no.children,144
5279,513,250,266,96,36,174,202,seniors,202,8100,41575,90625,43250,1369.776119,low,153,143,42,family.comp.couples.no.children,153
5280,7092,3524,3569,1270,419,2783,2634,adults,2783,52600,575875,1081875,962750,1593.97734,medium,1844,2064,393,family.comp.couples.children.under.15y,2064
5290,25131,12231,12902,4985,1607,10829,7714,adults,10829,178225,1861475,4337875,2888500,1576.131145,medium,5313,7518,2198,family.comp.couples.children.under.15y,7518
5291,8993,4893,4107,1800,592,4022,2578,adults,4022,35300,523000,1631250,1886750,1939.248335,high,2060,3291,311,family.comp.couples.children.under.15y,3291
5301,557,304,255,110,31,204,213,seniors,213,6900,58175,80500,46750,1308.333333,low,182,186,28,family.comp.couples.children.under.15y,186
5302,819,409,415,141,43,316,307,adults,316,5675,65450,139500,136750,1719.678218,high,224,260,21,family.comp.couples.children.under.15y,260
5303,221,121,100,43,10,115,51,adults,115,0,14600,36375,8250,1600.675676,medium,30,78,0,family.comp.couples.children.under.15y,78
5304,816,422,392,134,37,385,264,adults,385,3825,43625,154125,99500,1691.432584,high,178,217,27,family.comp.couples.children.under.15y,217
5306,79,43,29,11,8,21,26,seniors,26,1575,3375,5500,9750,1262.5,low,16,18,10,family.comp.couples.children.under.15y,18
5307,564,277,289,100,31,190,249,seniors,249,6450,59425,69375,35750,1257.352941,low,165,150,35,family.comp.couples.no.children,165
5308,141,78,63,28,7,68,42,adults,68,1350,8250,29625,0,1307.5,low,43,58,3,family.comp.couples.children.under.15y,58
5309,143,78,62,26,11,60,49,adults,60,0,10425,32625,0,1484.482759,medium,34,41,3,family.comp.couples.children.under.15y,41
5310,56,32,27,7,0,30,20,adults,30,0,3600,4125,8250,1597.5,medium,14,16,0,family.comp.couples.children.under.15y,16
5311,397,216,181,71,35,175,121,adults,175,3150,32950,71500,47750,1618.229167,medium,100,144,8,family.comp.couples.children.under.15y,144
5320,628,332,294,68,22,211,328,seniors,328,13875,67200,68000,41750,1142.664671,low,207,76,53,family.comp.couples.no.children,207
5321,547,396,147,27,20,303,189,adults,303,2475,31000,45750,11000,1171.753247,low,117,50,17,family.comp.couples.no.children,117
5322,1007,535,472,148,67,406,384,adults,406,5625,95775,178500,107750,1502.51938,medium,297,247,44,family.comp.couples.no.children,297
5330,3394,1689,1698,596,193,1275,1333,seniors,1333,24025,289275,545000,367000,1501.593137,medium,901,962,222,family.comp.couples.children.under.15y,962
5331,329,175,156,61,14,126,135,seniors,135,2475,35525,66500,8250,1326.470588,low,97,108,15,family.comp.couples.children.under.15y,108
5332,389,197,190,84,11,141,159,seniors,159,2700,45775,77125,23250,1391.121495,low,116,98,48,family.comp.couples.no.children,116
5333,5782,2840,2941,1045,374,2297,2064,adults,2297,38300,452375,1019375,650750,1559.018759,medium,1455,1698,382,family.comp.couples.children.under.15y,1698
5340,1660,891,774,250,66,845,492,adults,845,4725,107925,259000,185250,1667.365269,high,374,392,60,family.comp.couples.children.under.15y,392
5341,7720,3871,3848,1310,465,3278,2664,adults,3278,60075,639775,1143375,782250,1489.208735,medium,1814,2059,562,family.comp.couples.children.under.15y,2059
5342,1103,550,546,191,82,441,383,adults,441,7700,95850,219750,163250,1660.580205,medium,309,306,83,family.comp.couples.no.children,309
5343,4978,2469,2514,890,298,2042,1757,adults,2042,37650,400125,667125,534750,1502.887259,medium,1076,1239,466,family.comp.couples.children.under.15y,1239
5344,991,541,454,192,70,432,301,adults,432,7050,71525,194750,107500,1560.758197,medium,252,306,50,family.comp.couples.children.under.15y,306
5345,3611,1789,1824,589,210,1353,1467,seniors,1467,31575,289525,553000,374250,1477.337278,medium,860,912,262,family.comp.couples.children.under.15y,912
5346,374,199,181,70,32,138,140,seniors,140,2250,28225,75000,20750,1434.375,low,101,104,22,family.comp.couples.children.under.15y,104
5350,464,244,219,105,40,196,122,adults,196,675,15775,85625,112250,2143.25,very high,100,179,26,family.comp.couples.children.under.15y,179
5351,5745,2904,2838,1178,400,2514,1657,adults,2514,26075,372400,1175625,1244000,1898.989218,high,1386,2111,287,family.comp.couples.children.under.15y,2111
5352,5325,2603,2726,881,307,2123,2033,adults,2123,20450,341425,926000,1207750,1972.826087,very high,1317,1524,262,family.comp.couples.children.under.15y,1524
5353,3699,1857,1845,662,232,1526,1273,adults,1526,22700,275775,663625,687750,1795.266594,high,939,1085,216,family.comp.couples.children.under.15y,1085
5354,349,203,153,28,25,135,170,seniors,170,6050,31450,31375,11000,1109.375,low,82,54,10,family.comp.couples.no.children,82
5355,7501,3641,3864,1441,455,2954,2638,adults,2954,28900,554475,1519125,1185750,1737.057581,high,1886,2513,400,family.comp.couples.children.under.15y,2513
5356,780,418,360,131,56,363,221,adults,363,6675,52275,131500,87500,1502.432432,medium,187,250,28,family.comp.couples.children.under.15y,250
5357,442,236,204,64,14,162,202,seniors,202,3150,42450,46750,11000,1135.714286,low,121,86,25,family.comp.couples.no.children,121
5360,1096,568,527,236,73,477,299,adults,477,6525,63775,264125,233000,1878.890728,high,263,462,34,family.comp.couples.children.under.15y,462
5371,1231,647,584,269,109,594,262,adults,594,2400,60825,247125,288750,2073.010381,very high,197,548,44,family.comp.couples.children.under.15y,548
5372,2208,1094,1114,524,143,1031,515,adults,1031,9950,133200,483875,345250,1745.556553,high,457,936,148,family.comp.couples.children.under.15y,936
5373,3420,1717,1706,618,220,1341,1235,adults,1341,18325,294025,601750,472750,1607.010429,medium,860,1000,252,family.comp.couples.children.under.15y,1000
5374,1457,742,718,256,85,548,575,seniors,575,12475,110700,223625,152250,1450.726744,low,381,440,72,family.comp.couples.children.under.15y,440
5381,386,198,183,70,17,118,169,seniors,169,3525,35275,46750,8250,1172.5,low,84,109,15,family.comp.couples.children.under.15y,109
5400,902,432,468,178,56,500,176,adults,500,1350,38725,196250,100250,1849.313187,high,177,341,15,family.comp.couples.children.under.15y,341
5401,835,427,415,165,43,324,303,adults,324,5900,66925,123500,93250,1548.529412,medium,154,264,64,family.comp.couples.children.under.15y,264
5410,313,149,160,53,28,132,109,adults,132,1350,31225,55125,29500,1522.077922,medium,56,80,10,family.comp.couples.children.under.15y,80
5411,311,158,160,78,19,126,93,adults,126,0,28025,35625,59000,1777.536232,high,73,126,15,family.comp.couples.children.under.15y,126
5412,1168,567,602,179,72,377,541,seniors,541,7700,112875,168000,117250,1465.072202,medium,357,233,116,family.comp.couples.no.children,357
5413,800,416,388,150,39,296,318,seniors,318,7800,76450,116750,52500,1327.225131,low,236,234,41,family.comp.couples.no.children,236
5414,144,79,68,24,9,46,65,seniors,65,1800,11000,19000,0,1223.076923,low,32,33,4,family.comp.couples.children.under.15y,33
5415,220,107,115,31,5,85,104,seniors,104,0,26650,31250,44000,1670.491803,high,77,67,0,family.comp.couples.no.children,77
5416,228,112,116,54,14,91,77,adults,91,0,22500,37500,0,1304.347826,low,52,77,16,family.comp.couples.children.under.15y,77
5417,1544,757,792,264,68,540,668,seniors,668,7525,128750,208250,116500,1418.538462,low,406,424,59,family.comp.couples.children.under.15y,424
5418,102,54,48,20,7,44,40,adults,44,1350,5800,13625,15000,1626.136364,medium,28,25,5,family.comp.couples.no.children,28
5419,209,116,99,35,6,80,89,seniors,89,1800,18225,34750,19500,1485.5,medium,70,66,6,family.comp.couples.no.children,70
5420,75,41,38,10,3,32,28,adults,32,0,5550,6500,0,1205,low,33,30,0,family.comp.couples.no.children,33
5421,144,79,63,14,9,66,48,adults,66,2250,3900,19125,0,1053.125,low,32,23,5,family.comp.couples.no.children,32
5422,1726,865,865,255,93,558,824,seniors,824,22625,165300,135250,92250,1144.421488,low,406,293,175,family.comp.couples.no.children,406
5431,923,464,455,152,39,321,413,seniors,413,6900,62200,140375,102500,1544.430693,medium,257,237,33,family.comp.couples.no.children,257
5432,147,82,66,18,5,50,77,seniors,77,0,8000,34375,41000,2194.078947,very high,61,34,0,family.comp.couples.no.children,61
5433,1221,597,627,187,63,447,533,seniors,533,7200,99325,152375,185000,1675.09434,high,347,279,81,family.comp.couples.no.children,347
5434,873,446,428,94,27,309,460,seniors,460,1800,21825,48000,40000,1550.347222,medium,121,104,8,family.comp.couples.no.children,121
5440,352,238,116,31,9,193,120,adults,193,0,10775,30750,23250,1704.605263,high,36,61,3,family.comp.couples.children.under.15y,61
5451,686,348,339,92,24,281,298,seniors,298,4325,50250,135125,80000,1586.470588,medium,218,179,17,family.comp.couples.no.children,218
5452,429,225,202,95,21,169,151,adults,169,1350,22675,127125,67500,1868.803419,high,135,166,13,family.comp.couples.children.under.15y,166
5453,4985,2436,2548,941,241,1978,1819,adults,1978,24175,348750,896500,798750,1746.769426,high,1355,1477,301,family.comp.couples.children.under.15y,1477
5454,392,206,183,84,18,147,144,adults,147,3600,40875,47375,24750,1340.229885,low,120,118,30,family.comp.couples.no.children,120
5455,58,24,34,22,7,27,12,adults,27,0,0,4875,0,1625,medium,9,30,0,family.comp.couples.children.under.15y,30
5460,733,352,379,144,70,291,221,adults,291,4950,59750,113125,97750,1611.549708,medium,176,217,58,family.comp.couples.children.under.15y,217
5461,2529,1227,1300,466,151,994,925,adults,994,17050,200875,403875,351500,1660.921502,high,586,794,141,family.comp.couples.children.under.15y,794
5462,491,252,239,123,36,201,130,adults,201,1350,47750,85375,51250,1573.940678,medium,96,220,19,family.comp.couples.children.under.15y,220
5464,613,327,285,136,34,241,206,adults,241,2400,59875,120750,64250,1585.096154,medium,168,225,26,family.comp.couples.children.under.15y,225
5470,123,73,50,20,6,48,51,seniors,51,0,10875,14625,28250,1853.448276,high,33,27,3,family.comp.couples.no.children,33
5471,85,45,44,14,4,34,28,adults,34,0,6075,10375,8250,1543.75,medium,22,33,6,family.comp.couples.children.under.15y,33
5472,170,87,85,27,6,58,79,seniors,79,1350,18500,11625,0,1049.166667,low,43,38,10,family.comp.couples.no.children,43
5473,741,376,360,139,41,259,300,seniors,300,5775,76475,108125,37500,1273.044693,low,231,204,58,family.comp.couples.no.children,231
5480,789,419,373,120,32,290,350,seniors,350,6750,57225,130000,78250,1504.005525,medium,236,253,6,family.comp.couples.children.under.15y,253
5481,553,286,264,66,31,161,285,seniors,285,3375,56350,91000,64500,1505.06993,medium,208,131,21,family.comp.couples.no.children,208
5482,499,235,265,80,30,175,218,seniors,218,0,29050,95250,74750,1895.714286,high,122,153,3,family.comp.couples.children.under.15y,153
5483,370,190,177,68,19,133,153,seniors,153,300,19725,48375,59250,1905.223881,high,88,117,4,family.comp.couples.children.under.15y,117
5485,558,269,291,89,32,196,241,seniors,241,3750,40400,74250,70000,1583.193277,medium,194,159,24,family.comp.couples.no.children,194
5490,171,86,87,26,13,68,59,adults,68,4050,8300,19125,18000,1413.571429,low,42,51,6,family.comp.couples.children.under.15y,51
5491,1852,932,921,323,85,725,708,adults,725,9375,125150,321875,318750,1815.339578,high,474,552,60,family.comp.couples.children.under.15y,552
5493,82,41,40,9,9,30,30,adults,30,0,8250,0,0,916.6666667,low,21,12,6,family.comp.couples.no.children,21
5495,627,325,297,54,27,189,353,seniors,353,6450,61375,67500,83750,1470.302013,medium,222,78,15,family.comp.couples.no.children,222
5501,7225,3748,3471,1437,467,3397,1925,adults,3397,40250,480000,1349375,1044500,1711.171462,high,1466,2473,419,family.comp.couples.children.under.15y,2473
5502,1507,747,757,274,101,671,463,adults,671,4875,109475,304625,216250,1689.428191,high,394,508,58,family.comp.couples.children.under.15y,508
5510,116,66,50,14,8,44,36,adults,44,0,10100,29625,15000,1765.322581,high,34,33,3,family.comp.couples.no.children,34
5520,565,295,273,102,28,202,229,seniors,229,3300,52125,68000,69000,1468.89313,medium,160,134,53,family.comp.couples.no.children,160
5521,148,74,75,26,16,54,60,seniors,60,2700,15175,16500,15000,1334.459459,low,36,51,6,family.comp.couples.children.under.15y,51
5522,1403,682,722,158,48,357,844,seniors,844,14475,123025,179750,180000,1458.211144,medium,484,271,47,family.comp.couples.no.children,484
5523,1907,922,985,363,94,716,734,seniors,734,13050,130050,278375,385500,1789.301552,high,506,557,119,family.comp.couples.children.under.15y,557
5540,15430,7686,7745,2729,1055,6468,5172,adults,6468,126300,1203575,2118625,1795250,1522.575494,medium,3256,3871,1407,family.comp.couples.children.under.15y,3871
5550,939,502,434,191,52,410,293,adults,410,4650,78075,153250,63000,1444.323671,low,201,294,75,family.comp.couples.children.under.15y,294
5552,372,195,172,80,18,162,118,adults,162,2250,28075,47875,75750,1832.738095,high,91,126,10,family.comp.couples.children.under.15y,126
5554,5091,2512,2576,951,349,2054,1733,adults,2054,42825,407450,803500,595000,1529.177006,medium,1262,1434,421,family.comp.couples.children.under.15y,1434
5555,474,266,214,68,15,173,220,seniors,220,5175,44225,58750,60000,1449.568966,low,177,110,14,family.comp.couples.no.children,177
5556,4077,2047,2035,572,187,1409,1904,seniors,1904,40725,423700,502625,369000,1352.277328,low,1249,805,292,family.comp.couples.no.children,1249
5558,4682,2327,2358,674,206,1503,2296,seniors,2296,41100,488750,672125,429750,1382.817797,low,1576,1002,280,family.comp.couples.no.children,1576
5560,431,232,203,93,23,160,152,adults,160,5550,46225,60375,53000,1436.086957,low,97,143,29,family.comp.couples.children.under.15y,143
5570,535,295,237,45,16,151,328,seniors,328,7200,55300,68875,26750,1225.775194,low,183,66,21,family.comp.couples.no.children,183
5571,1785,923,860,208,59,506,1006,seniors,1006,13950,181275,249000,167750,1384.558824,low,659,377,61,family.comp.couples.no.children,659
5572,137,67,72,33,3,59,45,adults,59,0,10125,20625,31000,1991.935484,very high,45,39,10,family.comp.couples.no.children,45
5573,1992,991,1000,362,88,699,838,seniors,838,11825,155550,322250,246000,1595.715835,medium,567,556,108,family.comp.couples.no.children,567
5575,2250,1150,1106,336,104,698,1118,seniors,1118,19925,236000,299375,176250,1344.761029,low,734,531,89,family.comp.couples.no.children,734
5576,1040,527,516,177,49,342,473,seniors,473,7425,92375,136000,137500,1511.336032,medium,308,270,58,family.comp.couples.no.children,308
5577,508,274,234,60,31,172,237,seniors,237,4950,47075,76250,26250,1236.2,low,163,111,14,family.comp.couples.no.children,163
5580,344,172,170,59,11,109,155,seniors,155,1800,36825,48000,35750,1456.845238,low,95,112,9,family.comp.couples.children.under.15y,112
5581,517,271,246,32,11,122,353,seniors,353,1350,73850,41750,50000,1294.186047,low,234,73,9,family.comp.couples.no.children,234
5582,640,324,317,75,36,170,376,seniors,376,5700,62625,96875,58000,1377.777778,low,230,87,39,family.comp.couples.no.children,230
5583,779,413,365,91,25,210,446,seniors,446,6300,79750,71125,42250,1216.006098,low,259,167,21,family.comp.couples.no.children,259
5600,6159,3158,3001,993,371,2713,2078,adults,2713,36175,334650,964375,1622750,2044.194886,very high,1467,1801,299,family.comp.couples.children.under.15y,1801
5601,463,257,210,72,20,177,182,seniors,182,3825,33000,44500,100750,1785.04902,high,132,121,19,family.comp.couples.no.children,132
5602,1533,837,701,248,52,607,628,seniors,628,9150,108950,188000,168000,1534.304207,medium,392,371,43,family.comp.couples.no.children,392
5603,617,351,263,104,21,255,244,adults,255,2550,35875,70500,74250,1696.064815,high,103,147,28,family.comp.couples.children.under.15y,147
5604,258,140,120,19,4,88,139,seniors,139,2700,16300,23625,8250,1240.853659,low,83,22,10,family.comp.couples.no.children,83
5605,1768,871,894,233,68,592,869,seniors,869,11400,132050,257250,184000,1563.368984,medium,536,400,74,family.comp.couples.no.children,536
5606,13870,6887,6983,2660,849,6022,4342,adults,6022,84250,985675,2152375,1962000,1676.681759,high,3040,4026,1036,family.comp.couples.children.under.15y,4026
5607,4905,2675,2237,963,275,2092,1568,adults,2092,28375,341950,805500,717500,1698.049327,high,1207,1676,195,family.comp.couples.children.under.15y,1676
5608,13401,6685,6716,2650,845,6097,3807,adults,6097,146675,977750,1630375,1510750,1458.307692,medium,2510,3158,1692,family.comp.couples.children.under.15y,3158
5609,1850,907,941,460,113,924,345,adults,924,9750,115075,312625,542000,2070.718816,very high,398,773,177,family.comp.couples.children.under.15y,773
5630,136,68,62,26,10,60,28,adults,60,0,3375,18375,36250,2761.904762,very high,22,55,7,family.comp.couples.children.under.15y,55
5631,1036,502,531,230,54,427,327,adults,427,7700,70525,207000,157750,1779.016064,high,262,393,50,family.comp.couples.children.under.15y,393
5632,247,127,118,71,17,122,43,adults,122,0,8000,71375,73250,2422.619048,very high,57,121,5,family.comp.couples.children.under.15y,121
5633,324,175,150,68,14,139,107,adults,139,1350,26000,49625,31250,1524.295775,medium,83,106,3,family.comp.couples.children.under.15y,106
5640,1220,629,589,200,56,495,466,adults,495,9975,59600,180125,133000,1628.510638,medium,288,308,41,family.comp.couples.children.under.15y,308
5641,1071,562,505,241,37,442,354,adults,442,6575,63600,189875,160750,1783.050847,high,268,402,35,family.comp.couples.children.under.15y,402
5642,299,163,137,66,20,117,98,adults,117,0,21800,40250,73000,2046.212121,very high,43,112,5,family.comp.couples.children.under.15y,112
5650,180,92,84,45,7,77,59,adults,77,0,13800,32125,50750,2148.333333,very high,43,69,4,family.comp.couples.children.under.15y,69
5651,72,39,35,13,4,41,18,adults,41,0,0,0,43250,4325,very high,7,33,0,family.comp.couples.children.under.15y,33
5652,810,408,397,174,34,332,269,adults,332,2250,50150,135375,107000,1744.230769,high,171,271,43,family.comp.couples.children.under.15y,271
5653,78,44,34,22,0,29,26,adults,29,0,6075,6750,15000,2318.75,very high,22,37,0,family.comp.couples.children.under.15y,37
5654,242,132,111,49,9,94,88,adults,94,2250,15650,43125,44500,1758.75,high,56,81,7,family.comp.couples.children.under.15y,81
5655,102,60,44,28,0,38,24,adults,38,0,9675,22125,13750,1687.037037,high,27,49,0,family.comp.couples.children.under.15y,49
5660,43,21,22,15,3,27,7,adults,27,0,0,0,0,0,NA,11,20,0,family.comp.couples.children.under.15y,20
5661,127,74,53,29,0,56,43,adults,56,1350,14100,29125,36500,1801.666667,high,41,57,5,family.comp.couples.children.under.15y,57
5670,505,274,235,98,14,181,213,seniors,213,2550,38050,77750,48000,1526.146789,medium,134,175,15,family.comp.couples.children.under.15y,175
5671,178,100,73,37,0,84,58,adults,84,1350,11675,19000,34500,1847.916667,high,40,45,3,family.comp.couples.children.under.15y,45
5680,2521,1391,1126,390,86,1027,1023,adults,1027,10725,143000,321375,260500,1649.327354,medium,552,647,80,family.comp.couples.children.under.15y,647
5690,4223,2176,2045,784,238,1849,1355,adults,1849,19650,201575,497125,484000,1750.14556,high,756,1125,340,family.comp.couples.children.under.15y,1125
5700,11501,5644,5858,2159,612,5040,3691,adults,5040,85750,751375,1390125,1515750,1616.148532,medium,2204,2701,1173,family.comp.couples.children.under.15y,2701
5701,22,10,15,3,0,3,14,seniors,14,0,0,0,0,0,NA,6,0,4,family.comp.couples.no.children,6
5710,2617,1538,1082,477,140,1455,545,adults,1455,9500,127800,374500,417750,1866.566265,high,475,773,167,family.comp.couples.children.under.15y,773
5713,27,26,9,4,0,18,7,adults,18,0,0,0,0,0,NA,0,5,0,family.comp.couples.children.under.15y,5
5715,58,33,20,21,0,25,14,adults,25,0,0,0,0,0,NA,3,19,4,family.comp.couples.children.under.15y,19
5717,31,20,8,4,0,21,8,adults,21,0,0,0,0,0,NA,3,3,0,family.comp.couples.no.children,3
5719,79,49,26,3,0,28,37,seniors,37,0,0,0,0,0,NA,13,6,0,family.comp.couples.no.children,13
5720,354,254,99,14,4,208,120,adults,208,0,6075,25875,28000,2305.769231,very high,50,18,4,family.comp.couples.no.children,50
5722,311,169,140,37,17,121,138,seniors,138,1800,15825,22125,55000,1822.115385,high,57,64,15,family.comp.couples.children.under.15y,64
5723,2871,1788,1082,299,76,1470,1025,adults,1470,7250,102850,205875,145500,1559.037162,medium,335,360,122,family.comp.couples.children.under.15y,360
5724,565,291,273,82,23,284,179,adults,284,6300,27125,11625,31750,1146.268657,low,56,106,51,family.comp.couples.children.under.15y,106
5725,4630,2957,1672,1007,161,2978,476,adults,2978,5875,29975,530125,1789000,2973.453283,very high,585,1778,176,family.comp.couples.children.under.15y,1778
5730,162,91,74,9,3,51,96,seniors,96,1350,4875,16500,0,1262.5,low,28,18,3,family.comp.couples.no.children,28
5731,1098,856,247,96,11,740,247,adults,740,0,16500,42000,21250,1627.55102,medium,49,84,26,family.comp.couples.children.under.15y,84
5732,341,223,117,27,3,234,86,adults,234,4050,14000,9000,0,872.5806452,low,43,33,13,family.comp.couples.no.children,43
5733,456,304,156,44,15,248,150,adults,248,2700,12350,11625,0,987.962963,low,22,41,23,family.comp.couples.children.under.15y,41
5734,222,113,111,37,14,124,59,adults,124,3525,2300,6750,0,739.7058824,low,21,49,23,family.comp.couples.children.under.15y,49
5950,0,0,0,0,0,0,0,kids,0,0,0,0,0,0,NA,0,0,0,family.comp.couples.no.children,0
5960,5,5,0,0,0,0,0,kids,0,0,0,0,0,0,NA,0,0,0,family.comp.couples.no.children,0
