_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
5290,4,118,373,393,425,333,116,42,14,1814,3,43,240,221,259,209,51,9,0,1030,0,22,143,172,201,146,23,11,0,724,0,3,78,112,148,75,17,3,3,438,0,0,79,125,143,99,22,17,8,490,0,5,20,39,52,43,25,9,6,201,133,87,190,192,233,216,285,235,135,1714,1609,1476,3096,2967,3360,3202,2552,1555,692,20495
5291,3,16,102,137,189,157,44,17,3,666,0,11,55,91,134,85,18,6,3,397,0,7,52,105,87,52,13,4,7,324,0,3,27,55,59,62,15,0,0,215,0,0,31,66,97,49,23,7,3,270,0,3,6,29,36,48,17,0,0,152,71,57,172,188,201,149,126,55,30,1050,597,374,882,1226,1570,1349,916,334,121,7364
5301,0,0,7,11,11,8,0,0,0,34,0,0,0,3,4,5,0,0,0,12,0,0,0,4,8,6,0,0,0,11,0,0,5,3,0,0,0,0,0,10,0,0,0,3,9,0,3,0,0,14,0,0,0,0,0,0,0,0,0,3,6,0,4,3,4,10,6,5,0,42,29,12,50,61,83,122,67,29,0,455
5302,0,0,8,16,17,16,9,0,0,67,0,0,15,5,7,3,4,0,0,37,0,0,5,3,5,7,3,0,0,21,0,0,3,4,3,6,0,0,0,18,0,0,0,3,8,3,3,0,0,19,0,0,0,4,4,3,0,0,0,12,6,0,14,7,9,8,18,14,10,84,40,14,86,104,115,116,123,78,29,708
5303,0,0,3,3,3,4,3,0,0,18,0,0,7,0,3,0,0,0,0,5,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,17,12,8,28,34,33,21,17,10,3,167
5304,0,5,6,10,5,18,5,0,0,49,0,3,4,4,11,13,3,0,0,40,0,0,5,11,14,4,0,0,0,36,0,0,0,3,5,0,3,0,0,13,0,0,0,3,5,0,0,3,0,17,3,0,0,3,0,0,0,0,0,10,8,4,5,4,8,6,3,7,0,57,31,38,93,84,115,116,85,44,29,645
5306,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,6,12,13,13,0,0,57
5307,0,0,3,3,12,3,3,0,0,24,0,3,5,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,10,0,0,0,3,3,0,0,0,0,9,3,3,0,3,3,7,11,7,3,43,28,21,36,51,73,85,80,60,39,476
5308,0,0,0,4,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,7,3,13,26,30,21,17,4,0,112
5309,0,0,0,0,0,3,0,0,0,7,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,0,18,12,3,14,19,26,24,29,7,0,133
5310,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,4,3,5,3,7,11,10,11,4,0,54
5311,0,0,3,9,16,5,0,0,0,33,0,0,3,3,8,0,0,0,0,12,0,0,0,0,0,5,0,0,0,3,0,0,0,0,3,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,4,0,0,0,11,3,0,3,0,26,35,25,34,33,86,71,41,15,0,346
5320,0,0,3,15,9,9,0,0,0,43,0,0,3,0,6,3,0,0,0,16,0,0,3,4,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,5,0,0,7,0,0,0,0,3,0,0,0,0,3,0,0,4,0,4,11,15,0,3,39,20,9,49,57,96,142,129,61,10,577
5321,0,0,0,3,4,9,4,0,0,22,0,0,0,0,3,3,0,0,0,5,0,0,0,0,5,7,0,0,0,8,0,0,0,3,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,5,17,64,81,36,20,11,3,0,237,14,26,82,104,88,107,72,22,3,518
5322,0,0,9,16,23,20,4,0,0,70,0,0,12,9,10,5,5,0,0,38,0,0,3,3,10,4,0,0,0,24,0,0,3,5,4,4,0,0,0,14,0,0,0,3,3,3,3,0,0,13,0,0,0,0,0,3,0,0,0,6,4,3,3,7,23,15,23,6,3,89,65,36,97,101,157,154,166,57,10,846
5330,0,6,38,33,42,42,19,3,0,193,0,4,15,28,39,21,7,3,0,115,0,3,11,14,26,11,3,0,0,66,0,0,9,9,13,18,0,3,0,57,0,0,5,12,7,16,9,0,0,52,0,0,4,4,5,5,0,0,0,21,22,8,11,27,37,43,59,33,40,284,193,142,284,361,448,513,454,236,141,2777
5331,0,0,3,5,5,3,3,0,0,17,0,0,0,3,7,3,0,0,0,15,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,3,8,3,9,4,3,0,29,16,11,14,43,38,54,48,27,5,260
5332,0,0,6,4,4,10,3,0,0,31,0,0,0,0,0,0,0,0,0,5,0,0,0,4,3,3,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,3,5,0,0,3,3,4,8,5,6,0,36,11,9,27,48,63,80,56,22,5,325
5333,0,24,74,85,89,99,34,7,4,417,0,9,45,52,59,53,18,5,0,233,0,3,36,36,55,26,3,0,0,157,0,0,13,23,26,23,4,0,3,94,0,3,9,18,30,20,3,0,3,85,0,0,6,9,14,11,10,6,0,58,40,14,22,41,59,60,65,35,65,411,368,276,547,644,813,793,729,398,215,4772
5340,0,3,14,22,32,22,8,0,0,108,0,3,8,8,17,17,3,3,0,59,0,0,4,6,11,4,0,0,0,27,0,0,10,9,7,8,0,0,0,29,0,0,0,0,4,8,0,0,0,19,0,0,3,0,3,11,3,0,0,24,3,8,19,20,12,25,17,7,3,125,54,66,187,155,200,224,190,71,16,1182
5341,3,24,93,89,86,98,49,8,4,460,0,13,50,44,55,46,12,3,3,227,0,4,26,37,41,49,8,3,0,168,0,0,11,24,26,31,3,0,0,102,0,0,21,27,30,22,8,0,0,115,0,3,4,19,19,24,19,7,6,92,64,36,79,82,68,97,110,87,66,699,481,435,869,869,1012,1064,872,508,248,6353
5342,0,3,10,10,21,23,3,0,0,82,0,7,3,15,24,13,0,0,0,58,0,0,5,11,9,11,0,0,0,37,0,0,0,0,4,3,0,0,0,14,0,0,4,3,9,7,0,0,0,25,0,0,0,0,4,3,0,0,0,6,6,0,3,10,11,14,3,6,3,58,86,44,81,137,188,212,129,43,12,936
5343,3,37,64,40,59,54,19,7,4,292,0,3,42,45,45,31,10,0,3,171,0,0,30,25,19,26,9,0,0,114,0,0,24,21,22,15,3,0,0,77,0,3,18,22,19,20,3,0,0,79,4,0,3,18,11,13,3,0,0,52,37,28,55,45,41,72,55,32,24,382,279,262,575,527,604,694,542,320,155,3960
5344,0,0,8,14,21,17,3,0,0,76,0,0,8,11,16,3,3,0,0,38,0,0,3,6,9,3,4,0,0,27,0,0,0,3,0,4,0,0,0,9,0,0,0,3,7,3,0,0,0,16,0,0,0,0,0,4,0,0,0,4,9,0,3,17,15,22,11,3,4,81,67,31,76,127,178,144,110,43,11,797
5345,0,10,30,36,64,42,13,8,3,211,0,7,19,25,21,27,3,0,0,116,0,0,15,14,31,20,10,0,0,84,0,0,4,7,15,9,4,0,0,43,0,0,4,10,15,18,6,0,0,59,0,0,3,3,3,12,3,0,0,25,26,11,21,27,45,58,42,31,10,262,205,166,320,347,471,544,455,317,147,2974
5346,0,3,3,4,5,9,0,0,0,20,0,0,3,3,8,10,0,0,0,17,0,0,0,3,3,4,3,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,9,0,3,0,9,3,5,0,3,32,30,12,29,42,53,74,42,12,14,307
5350,0,3,0,7,8,7,0,0,0,34,0,0,0,8,9,9,0,0,0,25,0,0,7,8,7,4,0,0,0,24,0,0,0,0,5,5,7,0,0,18,0,0,0,4,4,4,0,0,0,22,0,0,0,4,4,0,0,0,0,8,0,0,0,6,9,10,7,3,0,35,34,18,23,61,91,82,37,10,0,365
5351,0,22,83,83,109,94,19,12,0,423,0,11,55,84,68,55,15,0,0,291,0,3,46,66,69,44,12,0,0,233,0,3,25,55,46,43,0,0,0,163,0,0,18,61,79,51,3,0,0,209,0,0,6,9,22,16,5,0,4,58,62,25,34,44,71,56,31,33,10,368,405,307,567,774,920,820,559,251,85,4681
5352,3,23,77,85,85,89,31,10,3,402,0,6,40,50,65,55,28,0,4,244,0,0,38,39,58,61,7,3,0,212,0,3,25,46,38,32,8,0,0,157,0,4,13,53,72,29,13,0,3,181,3,0,6,21,41,27,12,3,0,118,31,20,18,37,50,74,33,33,43,351,306,218,459,611,724,813,600,369,238,4343
5353,0,10,48,59,82,61,17,8,0,290,0,0,29,44,57,31,13,3,0,176,0,0,17,25,34,23,5,4,0,112,0,0,6,15,19,19,4,0,0,69,0,0,5,35,38,29,5,0,0,112,0,0,0,21,22,13,8,0,0,65,19,10,25,23,34,48,34,26,5,227,235,159,336,460,605,601,448,206,59,3105
5354,0,0,3,3,6,4,4,0,0,21,0,0,3,0,4,0,0,0,0,6,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,3,0,3,3,3,8,6,3,0,34,22,13,29,30,62,67,69,30,5,336
5355,7,19,131,108,140,122,49,13,0,599,0,10,84,100,88,80,21,8,0,399,0,4,65,72,60,57,11,4,4,274,0,0,26,36,37,34,7,0,0,147,0,0,31,63,53,34,10,0,0,197,0,0,0,8,21,13,12,4,4,54,41,11,45,51,43,49,66,22,19,344,462,302,868,924,918,1018,908,496,233,6132
5356,0,3,11,9,12,12,7,0,0,59,0,8,10,12,5,8,0,0,0,38,0,0,0,4,9,3,0,0,0,20,0,0,0,3,9,6,0,0,0,19,0,0,3,0,4,3,0,0,0,9,0,0,0,0,0,0,0,0,0,7,3,0,3,9,7,17,7,3,0,58,53,37,89,107,144,136,70,27,5,669
5357,0,0,4,3,7,7,0,0,0,24,0,0,0,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,6,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,4,17,9,3,46,13,13,34,37,67,72,77,29,9,361
5360,0,0,19,20,28,22,3,0,0,100,0,3,13,16,12,3,4,0,0,59,0,0,8,11,14,15,3,0,0,59,0,0,9,8,3,10,3,0,0,31,0,0,7,4,12,14,0,0,0,35,0,0,0,5,4,0,0,0,0,13,4,3,9,3,8,18,8,0,0,60,72,57,128,147,163,183,80,41,14,877
5371,3,8,5,30,38,24,4,0,0,112,0,4,11,18,16,15,3,0,0,70,0,0,9,17,17,11,0,0,0,56,0,0,3,11,7,8,0,0,0,31,0,0,7,12,18,0,0,0,0,35,0,0,0,3,11,3,0,0,0,11,5,3,4,9,10,11,3,5,0,47,112,72,127,187,216,161,84,24,9,991
5372,0,7,56,47,41,32,9,0,0,185,0,0,29,20,20,16,3,0,0,93,0,3,24,32,17,9,0,0,0,86,0,0,11,15,10,12,0,0,0,47,0,0,11,12,19,8,8,0,0,51,0,0,0,0,4,0,0,0,0,9,25,12,16,12,16,23,12,3,3,120,146,130,308,295,294,270,147,55,44,1694
5373,0,8,40,45,56,55,21,6,0,232,0,3,25,25,42,42,11,0,0,149,0,0,17,26,26,18,12,3,0,99,0,0,10,18,10,17,3,0,0,55,0,0,7,25,27,13,3,0,0,78,0,0,0,3,8,6,0,0,0,21,18,4,19,12,30,32,46,9,4,172,216,150,327,363,509,540,440,200,55,2803
5374,0,5,10,11,20,23,9,3,0,90,0,0,9,17,17,16,3,0,0,56,0,4,3,16,14,17,0,0,0,47,0,0,0,6,4,6,3,0,0,26,0,0,0,0,5,6,0,3,0,16,0,0,0,0,3,4,0,0,0,5,20,3,3,11,12,21,10,17,3,95,93,60,106,166,211,268,182,99,38,1225
5381,0,0,3,3,7,3,3,0,0,19,0,0,3,0,0,3,3,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,13,8,4,0,38,23,18,26,40,50,81,64,29,3,326
5400,0,3,9,14,16,14,0,0,0,67,3,0,7,5,9,10,0,0,0,35,0,0,8,8,7,8,0,4,0,30,0,0,0,11,3,8,0,0,0,22,0,0,3,3,5,3,0,0,0,15,0,0,0,0,3,3,7,0,0,11,3,6,9,3,10,9,8,0,0,41,55,113,110,104,135,115,48,11,6,705
5401,0,0,12,8,20,20,6,0,0,63,0,3,3,6,6,3,0,0,0,28,0,0,3,5,3,8,3,0,0,22,0,0,3,3,3,5,0,0,0,19,0,0,0,3,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,7,3,5,9,6,5,12,18,14,20,97,45,35,89,82,118,145,90,47,34,681
5410,0,0,0,7,0,3,0,0,0,17,0,0,0,5,4,0,0,0,0,12,0,0,0,0,8,3,0,0,0,12,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,3,0,6,3,8,4,4,0,0,29,31,14,24,35,59,48,37,17,9,264
5411,0,0,3,0,3,3,0,0,0,17,0,0,3,0,0,6,0,0,0,19,0,0,0,0,3,4,0,3,3,9,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,3,3,0,8,0,0,0,25,19,14,37,31,39,43,31,25,6,246
5412,0,3,6,16,23,15,8,8,0,71,0,0,3,5,18,22,5,4,0,57,0,0,3,3,14,8,3,0,0,31,0,0,3,5,4,4,0,0,0,18,0,0,3,0,12,10,0,0,0,24,0,0,0,0,0,3,5,0,0,12,8,0,6,3,8,18,17,12,11,85,72,23,87,97,172,216,210,87,61,1031
5413,0,3,6,10,9,11,5,0,0,50,0,0,9,0,10,3,0,0,0,29,0,0,0,7,5,3,0,0,0,21,0,0,0,0,6,4,0,0,0,11,0,0,0,0,0,3,0,0,0,3,0,0,0,0,7,0,0,0,0,9,3,3,10,3,13,17,6,3,0,69,39,31,79,65,130,155,104,58,18,688
5414,0,0,0,0,3,0,6,0,0,6,0,0,0,0,3,0,0,0,0,5,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,3,0,0,8,5,0,0,17,9,5,20,9,21,27,25,4,3,125
5415,0,0,7,0,3,4,3,0,0,17,0,0,0,0,3,0,0,0,0,6,0,0,0,0,8,0,0,0,0,9,0,0,4,0,3,0,0,0,0,3,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,5,0,0,0,6,8,9,29,11,34,47,44,11,0,187
5416,0,0,0,0,3,3,0,0,0,7,0,0,3,3,0,0,0,0,0,11,0,0,4,3,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,8,3,4,0,25,12,13,21,32,36,54,20,11,0,192
5417,0,3,13,14,23,18,6,5,0,76,0,0,10,7,14,13,4,0,0,46,0,0,4,6,9,12,3,0,0,43,0,0,5,8,6,9,3,0,0,29,0,0,0,0,8,8,0,0,0,23,0,0,0,4,4,4,0,3,0,14,11,4,12,13,31,17,28,10,3,131,61,49,120,152,212,257,234,110,33,1219
5418,0,0,0,0,3,0,0,0,0,4,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,6,7,12,7,19,18,22,3,0,95
5419,0,0,4,0,8,5,0,0,0,15,0,0,3,4,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,5,0,0,0,0,0,0,0,4,3,12,11,7,25,19,28,43,23,26,4,186
5420,0,3,0,0,3,0,0,0,0,7,0,0,4,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,4,0,0,9,3,4,9,12,22,13,15,0,0,71
5421,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,4,0,23,9,3,9,25,30,23,12,5,3,121
5422,0,3,6,3,14,18,6,5,0,57,0,3,3,4,10,12,0,0,0,27,0,0,7,4,10,8,0,0,0,31,0,0,3,0,3,4,0,0,0,17,0,0,0,4,4,12,0,0,0,15,0,0,0,0,0,5,3,0,0,9,16,3,10,13,16,35,26,24,13,166,96,62,142,141,194,353,247,154,56,1433
5431,0,0,9,14,13,19,5,3,0,66,0,3,9,3,11,11,3,0,0,40,0,0,3,3,5,4,3,0,0,22,0,0,4,0,3,3,6,0,0,18,0,0,0,6,3,3,0,0,0,20,0,0,0,0,0,0,0,0,0,4,10,0,8,7,10,10,12,12,10,79,42,27,72,80,125,176,120,73,45,760
5432,0,0,0,0,3,6,4,0,0,14,0,0,0,0,0,7,0,0,0,11,0,0,0,0,0,4,0,0,0,9,0,0,0,3,3,0,0,0,0,6,0,0,0,0,3,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,6,7,14,6,19,28,33,8,4,120
5433,0,6,11,9,16,17,14,0,0,65,0,4,8,4,15,12,0,0,0,49,0,0,13,10,22,11,0,0,0,51,0,0,4,9,6,7,0,0,0,30,0,0,9,11,13,5,0,0,0,36,0,0,3,5,4,7,0,0,0,22,7,6,4,9,12,26,14,17,12,114,69,46,110,116,202,217,195,97,34,1081
5434,0,0,0,3,14,6,9,0,0,38,0,3,10,4,0,3,4,0,0,24,0,0,3,3,4,0,3,0,0,14,0,0,0,3,3,3,0,0,0,8,0,0,0,3,0,3,0,0,0,8,0,0,0,0,4,0,0,0,0,5,12,4,8,14,3,21,11,0,0,81,24,27,40,52,51,99,70,17,11,384
5440,0,0,5,4,0,9,0,0,0,19,0,0,5,0,3,0,0,0,0,10,0,0,3,3,7,7,0,0,0,20,0,0,3,7,3,4,0,0,0,12,0,0,9,3,0,0,0,0,0,10,0,0,0,0,0,3,0,0,3,10,3,0,3,0,3,11,0,0,3,28,8,15,35,38,36,51,24,11,7,223
5451,0,0,6,11,16,18,8,3,0,57,0,0,3,4,5,5,8,0,0,28,0,0,3,0,9,6,0,0,0,20,0,0,0,4,6,8,3,0,0,21,0,0,3,3,3,4,0,0,0,16,0,0,4,0,0,0,0,0,0,9,3,0,9,4,11,26,18,4,3,77,29,20,73,59,118,152,96,39,12,599
5452,0,0,7,7,7,4,3,0,0,32,0,0,3,3,0,3,0,0,0,16,0,0,0,3,6,8,0,0,0,20,0,0,0,0,3,3,3,0,0,9,0,0,0,3,0,10,0,0,0,11,0,0,0,0,0,0,0,0,0,3,3,0,3,5,5,3,3,0,0,23,21,17,34,57,62,84,53,18,3,349
5453,0,17,74,56,83,66,38,9,7,354,0,8,58,36,45,34,18,0,0,204,0,3,24,53,38,33,23,4,0,177,0,0,14,34,38,17,11,0,0,114,0,3,26,39,49,25,11,0,3,149,0,0,3,20,23,25,9,4,0,84,27,8,42,44,41,66,44,24,16,306,242,199,554,552,650,733,601,301,159,3988
5454,0,0,9,4,5,5,0,0,4,30,0,0,4,4,9,7,0,0,0,23,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,4,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,0,3,9,3,8,5,0,30,20,14,37,43,48,63,64,15,8,314
5455,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,9,0,6,10,14,7,5,0,0,45
5460,0,5,3,8,7,7,3,3,0,40,0,0,4,12,3,4,3,0,0,21,0,0,3,9,8,11,0,0,0,31,0,0,0,0,7,4,0,0,0,10,0,0,0,4,3,3,0,0,0,19,0,0,0,0,7,0,0,0,0,10,10,0,3,7,7,4,9,3,3,52,71,36,63,89,121,108,92,32,7,611
5461,0,17,27,41,35,36,12,5,3,174,0,3,16,14,20,8,7,3,0,75,0,0,11,15,23,15,9,3,0,69,0,0,9,5,11,14,0,0,0,43,0,3,3,12,22,6,7,0,0,46,0,0,0,8,4,6,3,3,3,23,11,11,25,17,24,24,33,20,27,183,144,141,225,294,333,330,318,188,121,2091
5462,0,0,10,11,7,9,0,0,0,41,0,0,0,8,7,3,0,0,0,16,0,0,3,4,5,5,0,0,0,18,0,0,0,0,3,0,0,0,0,6,0,0,3,0,4,0,0,0,0,7,0,0,0,3,0,4,0,0,0,7,3,0,0,3,0,0,0,0,4,12,36,31,62,61,71,58,43,26,6,393
5464,0,3,11,14,13,11,0,0,0,47,0,0,4,6,6,4,0,0,0,23,0,0,3,5,0,10,0,0,0,23,0,0,3,3,3,3,3,0,0,10,0,0,3,0,0,3,3,0,0,8,0,0,0,0,4,0,3,0,0,10,7,0,9,3,10,5,0,0,0,41,37,26,71,66,95,111,62,23,7,500
5470,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,5,0,0,7,4,7,8,15,17,25,27,9,3,121
5471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,3,0,0,0,0,7,6,3,3,9,14,15,7,3,4,72
5472,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,14,3,6,5,21,27,33,31,12,0,140
5473,0,3,3,10,3,7,3,0,0,32,0,4,7,3,8,11,0,0,0,29,0,0,0,4,0,3,0,0,0,12,0,0,3,3,0,3,0,0,0,12,0,0,0,3,7,7,0,0,0,12,0,0,0,0,0,0,0,0,0,0,4,5,9,0,9,7,21,5,0,61,41,34,68,61,104,123,129,48,9,618
5480,0,0,10,15,11,8,7,0,0,59,0,0,7,6,4,8,0,0,0,27,0,0,6,8,3,4,0,0,0,21,0,0,5,6,4,3,0,0,0,21,0,0,0,3,7,3,5,0,0,16,0,0,0,0,0,0,0,0,0,3,3,3,6,6,3,8,4,8,0,41,31,36,80,77,91,132,120,65,24,651
5481,0,0,0,4,10,9,0,0,0,23,0,0,0,3,3,5,0,0,0,15,0,0,0,7,3,3,0,0,0,13,0,0,0,0,5,3,0,0,0,10,0,0,0,0,5,0,0,0,0,11,0,0,0,0,0,6,0,0,0,5,3,0,0,0,6,12,5,3,3,37,35,14,24,41,81,136,87,42,16,487
5482,0,0,3,5,13,7,3,4,0,39,0,0,0,0,10,3,3,0,0,17,0,0,4,6,6,0,0,0,0,14,0,0,0,3,0,0,0,0,0,7,0,0,0,3,7,0,0,0,0,12,0,0,3,0,0,3,0,0,0,3,0,0,3,0,8,3,11,0,5,39,26,18,37,47,82,85,62,50,39,440
5483,0,0,0,4,5,9,5,0,0,22,0,3,6,3,0,0,0,0,0,17,0,0,3,0,0,4,0,0,0,9,0,0,0,0,0,4,0,0,0,11,0,0,3,5,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,3,0,3,5,3,3,6,3,0,31,18,15,26,41,43,52,49,23,10,281
5485,0,0,4,4,6,6,0,0,0,22,0,0,4,5,4,9,0,0,0,28,0,0,5,4,5,10,3,0,0,27,0,0,0,0,5,3,3,0,0,8,0,0,0,6,4,5,0,0,0,16,0,0,0,0,4,0,3,0,0,8,5,3,0,11,8,4,11,9,3,54,35,22,45,61,84,101,92,43,13,490
